asin,mpn,amazon_title,top_match_handle,top_match_sku,top_match_title,score,confidence,runner_up_handle,runner_up_title,runner_up_score
B071SDM6H5,fg-yar064d-oe-mb-601,Matte Black OE Honeycomb Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 06 07-09 Toyota Yaris 4 Door Sedan,2005-2011-toyota-tacoma-honeycomb-mesh-front-grille-matte-black,ITEM-021833,2005-2011 Toyota Tacoma Honeycomb Mesh Front Grille - Matte Black,0.675,high,2005-2010-chrysler-300-honeycomb-mesh-front-grille-matte-black,2005-2010 Chrysler 300 Honeycomb Mesh Front Grille - Matte Black,0.643
B01MXI8MEU,th-lib08-c245-601,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible with 08-12 Jeep Liberty",2008-2012-jeep-liberty-class-3-trailer-hitch-black-mpn-13245,ITEM-021814,2008-2012 Jeep Liberty Class 3 Trailer Hitch - Black | MPN 13245,0.667,high,2008-2012-jeep-liberty-class-3-trailer-hitch-w-ball-mount-curt,2008-2012 Jeep Liberty Class 3 Trailer Hitch w/ Ball Mount - CURT,0.667
B077JLPPJX,fg-dts06-vt-ch-601,Chrome Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 06-11 Cadillac DTS,2006-2011-cadillac-dts-chrome-vertical-front-grille-custom,ITEM-013828,2006-2011 Cadillac DTS Chrome Vertical Front Grille - Custom,0.714,high,2006-2011-cadillac-dts-vertical-front-grille-black,2006-2011 Cadillac DTS Vertical Front Grille - Black,0.679
B07LC1GGNX,fg-exped03-vt-bk-601,Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 03-06 Ford Expedition,2003-2006-ford-expedition-vertical-style-front-grille-black-abs,ITEM-013640,2003-2006 Ford Expedition Vertical Style Front Grille - Black ABS,0.733,high,2003-2006-ford-expedition-vertical-style-chrome-front-grille-abs,2003-2006 Ford Expedition Vertical Style Chrome Front Grille - ABS,0.688
B01FTGE16I,fggg-grbt-impa06lo-me-bk-601,Glossy Black Mesh Front Lower Bumper Grill Grille Guard ABS Compatible With 06-13 Chevy Impala / 14-16 Limited,2006-2016-chevy-impala-front-lower-bumper-grille-matte-black,ITEM-009387,2006-2016 Chevrolet Impala Front Lower Bumper Grille - Black,0.676,high,2007-2014-gmc-yukon-yukon-xl-front-lower-bumper-grille-black,2007-2014 GMC Yukon / Yukon XL Front Lower Bumper Grille - Black,0.632
B01FTGCVPQ,fggg-gr-camy10-me-ch-601,Chrome Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 10-11 Toyota Camry,2010-2011-toyota-camry-front-grille-chrome-mesh-style,ITEM-000828,2010-2011 Toyota Camry Front Grille - Chrome Mesh Style,0.714,high,2010-2011-toyota-camry-mesh-front-grille-black,2010-2011 Toyota Camry Mesh Front Grille - Black,0.679
B087L29BNF,tc-f15004-5.5-lth-601,"Low Profile Hard Tri Fold Aluminum Truck Bed Tonneau Cover Compatible with 04-14 Ford F150 / 06-08 Lincoln Mark LT 5.5 Ft (66"") Short Bed",04-14-ford-f-150-5-5-roll-up-tonneau-cover-w-led-bed-lights,ITEM-022407,04-14 Ford F-150/Lincoln Mark LT 5.5 ft Bed Tonneau Cover + LED Kit,0.717,high,06-08-lincoln-mark-lt-5-5-tri-fold-tonneau-cover-w-led-bed-lights,2006-2008 Lincoln Mark LT 5.5 ft Bed Tri-Fold Tonneau Cover Combo,0.667
B07M5J6QT6,smdp-cama85-c-601,Depo Chrome Clear Housing Front Bumper Turn Signal Lights Parking Lamps Side Marker Reflector dp Compatible With 85-92 Camaro/Firebird,1993-2011-ford-ranger-6-bed-tri-fold-tonneau-cover-w-led-lights,ITEM-030199,1983-2011 Ford Ranger 6 ft Bed Tri-Fold Tonneau Cover with LED Lights,0.269,low,1983-2012-ford-ranger-7-long-bed-pvc-bed-mat-black,1983-2012 Ford Ranger 7 ft Bed PVC Bed Mat - Black,0.250
B07D6YHSNV,714937188808,"Stehlen 714937188808 Compatible with 2004-2014 Ford F150 / 2006-2008 Lincoln Mark LT 6.5 Feet (78"") Bed Lock and Roll Up Tonneau Cover - Black",2006-2008-lincoln-mark-lt-6-5-tri-fold-tonneau-cover-led-light-kit,ITEM-022414,2006-2008 Lincoln Mark LT 6.5 ft Bed Tri-Fold Tonneau Cover Combo,0.690,high,2004-2014-ford-f-150-5-5-bed-flush-roll-up-tonneau-cover,2004-2014 Ford F-150 5.5 ft Bed Flush Roll Up Tonneau Cover,0.659
B085Q54ZKD,642167821885,Stehlen 642167821885 Compatible With 2013-2018 Ram 1500/2019-2024 Classic Rebel Honeycomb Mesh Front Hood Bumper Grille - Matte Black,2013-2022-ram-1500-honeycomb-rebel-style-front-grille-matte-black,ITEM-026922,2013-2022 Dodge Ram 1500 Honeycomb Rebel Style Front Grille - Matte Black,0.722,high,2013-2024-ram-1500-honeycomb-rebel-style-front-grille-black-abs,2013-2024 Dodge Ram 1500 Honeycomb Rebel Style Front Grille - Black,0.694
B07JR9DQS5,sbhd-f15015cc-5-bk-601,"5"" Oval Black Side Step Nerf Bars Rail Running Boards Compatible with 15-22 Ford F150 SuperCrew / 17-22 F250 F350 F450 F550 Superduty Crew Cab",2017-2022-ford-super-duty-crew-cab-5-steel-side-step-bars-black,ITEM-024789,"2017-2022 Ford Super Duty Crew Cab 5"" Side Step Bars - Black",0.646,high,2017-2022-ford-super-duty-crew-cab-4-side-step-bars-matte-black,"2017-2022 Ford Super Duty Crew Cab 4"" Side Step Bars - Matte Black",0.640
B07JKLQPGL,th-piru04-a468-601,"Class 1 I Black 1.25"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible with 04-09 Toyota Prius",04-09-toyota-highlander-lexus-rx-class-3-trailer-hitch-black,ITEM-022644,04-09 Toyota Highlander Lexus RX Class 3 Trailer Hitch - Black,0.667,high,curt-13028-class-3-trailer-hitch-2-receiver-for-ford-chevy-gmc,"1973-2007 Ford Chevrolet C/K 2"" Class 3 Trailer Hitch Receiver - Black",0.639
B07P32H1B7,733469493495,Stehlen 733469493495 Compatible with 2010-2024 Toyota 4Runner Advance Series Aluminum LED Bull Bar - Matte Black,2010-2024-toyota-4runner-bull-guard-w-led-light-bar-matte-black-1,ITEM-025242,2010-2024 Toyota 4Runner Bull Guard w/ LED Light Bar - Matte Black,0.786,high,2010-2024-toyota-4runner-bull-guard-w-led-light-bar-matte-black,2010-2024 Toyota 4Runner Advanced Bull Guard LED Light Bar - Matte Black,0.767
