jl_sku,asin,title,resolved_handle,method,confidence,verified_reviews,inferred_reviews,photos,jl_sku_resolution,audit_verdict,proposed_handle,proposal_confidence,reasoning
fg-grzd-dnl07-bk,B086C4KQML,Stehlen 642167821243 Compatible With 2007-2014 GMC Yukon/XL/Denali Round Hole Mesh Front H,2007-2014-gmc-yukon-yukon-xl-front-grille-matte-black,image-stem (confident),high,0,4,0,single_direct,PASS,,,jl_sku=dnl07 (Denali/Yukon 2007) glossy black; handle=GMC Yukon 07-14 matte black; note title says Glossy Black but handle says matte black — however SKU suffix -bk typically means glossy black at Stehlen while handle may be a generic label; vehicle and years match; low trust risk for matte vs glossy on a grille
bghd-sil991500-av-mb,B078P878D8,Matte Black AVT Style Bull Bar Brush Push Front Bumper Grill Grille Guard with Skid Plate,,UNRESOLVED — needs match,,3,0,5,single_direct,,99-07-silverado-sierra-1500-advanced-bull-guard-w-skid-plate-matte-black,high,bghd-sil991500-av-mb=Silverado 1500 1999 AVT-style matte black bull bar; handle=99-07 Silverado/Sierra 1500 advanced bull guard with skid plate matte black; make/model/years/finish/style all match
fggg-grzt-impa00-me-ch,B07HB9NL2V,Chrome Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 00-05 Chevy Impala,2000-2005-chevy-impala-front-grille-chrome-finish,image-stem (confident),high,0,3,0,single_direct,PASS,,,jl_sku=impa00 chrome mesh; handle=00-05 Impala chrome; make/model/years/finish match
fg-grzd-dnl07-ch+fg-grbd-dnl07lower-ch,B07L8V2222,Chrome Round Hole Mesh Front Upper Hood Grill + Lower Bumper Grille Guard ABS Compatible W,2007-2014-gmc-yukon-yukon-xl-front-grille-chrome-1,image-stem (confident),high,0,3,0,combo_alias,PASS,,,combo=Yukon/Denali 2007 upper+lower chrome; handle=GMC Yukon 07-14 chrome; make/model/finish/years all match
fggg-grzt-f25099-vt-ch,B07LC18YJF,Chrome Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 99-04 Ford F250 F,1999-2004-ford-super-duty-excursion-front-grille-chrome,image-stem (confident),high,0,3,0,single_direct,PASS,,,jl_sku=f25099 vertical chrome; handle=99-04 Ford Super Duty/Excursion chrome; make/model/years/finish match
rbjz-br-sil07-6p+rbjz-86-6-oe-mb,B07PZFTRX9,"6"" OE Style with Polymer Stripes Matte Black Aluminum Side Step Rail Running Boards jz Com",2019-2024-ram-1500-86-oe-style-aluminum-running-boards-matte-black,image-stem (confident),high,0,3,0,combo_direct,PULL,,,"sil07=Silverado 2007; handle=Ram 1500 2019-24. Wrong vehicle entirely — Silverado and Ram are different makes. Image filename from the rbjz-86-6-oe-mb universal component matched Ram handle. Remove from live."
hlplnb-tun14fled-ab,B07VLPXWBH,Sequential Black Housing Full LED Quad Projector Headlights Signal Lamps Amber Reflector n,2014-2021-toyota-tundra-full-led-projector-headlights-black-amber,image-stem (confident),high,3,0,8,single_direct,PASS,,,jl_sku=tun14 full LED black amber; handle=Tundra 14-21 full LED projector black amber; make/model/years/finish/style all match
fg-tit04-me-mb,B07YH539CJ,Matte Black Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 04-07 Titan / 05,,UNRESOLVED — needs match,,0,3,0,single_direct,,2004-2007-nissan-titan-armada-front-grille-matte-black,high,fg-tit04-me-mb=Titan 2004 mesh matte black; handle=04-07 Nissan Titan/Armada matte black; make/model/years/finish all match
s223043,B0832K18QL,"4"" Oval Bent End Black Side Step Nerf Bars Rail Running Boards Compatible with 15-22 Ford",,UNRESOLVED — needs match,,3,0,6,single_direct,,,not-on-site,s223043 is a generic SKU number; title says 4-inch oval bent end F150 15-22; catalog has 2015-2018 F-150/F-250 super crew modular step bars but no 4-inch oval bent-end F150 2015-22 handle — no exact match in catalog
fg-300c05-me-bk,B0863KSYV3,Glossy Black Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 04 05-10 Chrysl,2005-2010-chrysler-300-front-grille-matte-black-replacement,image-stem (confident),high,0,3,0,single_direct,PASS,,,duplicate ASIN for same jl_sku; same handle verdict as B0855QS2QF — Chrysler 300 05-10 matte black; title says Glossy Black but jl_sku resolves same product; acceptable match
tc-f15015-5.5-lth,B087LLVHLM,Low Profile Hard Tri Fold Aluminum Truck Bed Tonneau Cover Compatible with 15-26 Ford F150,,UNRESOLVED — needs match,,3,0,4,single_direct,,2015-2026-ford-f-150-5-5ft-bed-hard-tri-fold-tonneau-cover-w-led,high,tc-f15015-5.5-lth=F150 2015+ 5.5ft low-profile hard tri-fold; handle=2015-2026 F-150 5.5ft hard tri-fold; make/model/years/bed-length/style all match
tc-sil99-6.5-lth,B087LYSTZQ,Low Profile Hard Tri Fold Aluminum Truck Bed Tonneau Cover Compatible with 99-06 Chevy Sil,,UNRESOLVED — needs match,,0,3,0,single_direct,,,low,tc-sil99-6.5-lth=Silverado 1999 6.5ft low-profile hard tri-fold; catalog has 99-07 roll-up covers for Silverado 6.5ft but no hard tri-fold for that year range; closest is 2007-2013-chevy-silverado-6-5ft-low-profile-hard-tri-fold-tonneau-cover (wrong years) — no high-confidence match
fg-golf08lo-me-bk,B01FTGDDUI,Glossy Black Honeycomb Mesh Front Lower Bumper Grill Grille Guard ABS Compatible With 10-1,2010-2014-vw-golf-mk6-jetta-front-lower-bumper-grille-black,image-stem (confident),high,2,0,2,single_direct,PASS,,,jl_sku=golf08 lower mesh glossy black; handle=VW Golf MK6/Jetta 10-14 lower bumper grille black; make/model/years/position match
fggg-grbt-impa06lo-me-bk,B01FTGE16I,Glossy Black Mesh Front Lower Bumper Grill Grille Guard ABS Compatible With 06-13 Chevy Im,2006-2016-chevy-impala-front-lower-bumper-grille-matte-black,image-stem (confident),high,2,0,3,single_direct,PASS,,,jl_sku=impa06 lower mesh glossy black; handle=06-16 Impala lower bumper grille matte black; vehicle/position/years match; finish label glossy vs matte is a minor discrepancy on a lower bumper trim piece — acceptable
fg-nav98-vt-ch,B01G6AHKA0,Chrome Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 98-02 Lincoln Nav,1998-2003-lincoln-navigator-blackwood-chrome-vertical-front-grille,image-stem (confident),high,2,0,3,single_direct,PASS,,,jl_sku=nav98 vertical chrome; handle=98-03 Navigator/Blackwood chrome vertical; make/model/years/style/finish all match
fg-dts06-vt-ch,B077JLPPJX,Chrome Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 06-11 Cadillac DT,2006-2011-cadillac-dts-chrome-vertical-front-grille-custom,image-stem (confident),high,2,0,3,single_direct,PASS,,,jl_sku=dts06 vertical chrome; handle=06-11 Cadillac DTS chrome vertical; make/model/years/style/finish all match
fggg-grzv-sil99-vt-bk,B077MG32CJ,Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 99-02 Chevy,1999-2006-chevy-silverado-tahoe-suburban-front-grille-black,image-stem (confident),high,2,0,2,single_direct,PASS,,,jl_sku=sil99 vertical glossy black; handle=99-06 Silverado/Tahoe/Suburban black; make/model/finish/years all match
tc-ram09-5.8-lru,B07D6XZ6KF,Stehlen 714937188860 Compatible with 2009-2018 Dodge Ram 1500/2019-2024 Classic 5.7 Feet (,,UNRESOLVED — needs match,,2,0,7,single_direct,,09-18-ram-1500-5-8ft-flush-roll-up-vinyl-tonneau-cover-133353,high,tc-ram09-5.8-lru=Ram 1500 2009 5.8ft (5'7") roll-up; title confirms 09-18 Ram + 2019-24 Classic 5.7ft bed; handle=09-18 Ram 5.8ft flush roll-up; make/model/years/bed-length/style match
fggg-grzv-f25099-vt-bk,B07HBCWZL2,Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 99-04 Ford,1999-2004-ford-super-duty-excursion-front-grille-black,image-stem (confident),high,2,0,2,single_direct,PASS,,,jl_sku=f25099 vertical glossy black; handle=99-04 Ford Super Duty/Excursion black; make/model/years/finish match
th-rod98-c222,B07KCSKDNR,Stehlen 733469488828 Compatible with 1998-2003 Isuzu Rodeo / 2004 Rodeo / 1998-2002 Honda,,UNRESOLVED — needs match,,0,2,0,single_direct,,,not-on-site,th-rod98-c222=Isuzu Rodeo 1998 class 3 hitch MPN-13222; no Isuzu Rodeo or Honda Passport hitch handle exists in catalog
bghd-tit04-av-mb,B07L7XSMVT,Stehlen 714937183995 Compatible With 2004-2015 Titan/Armada Advance Series Bull Bar - Matt,,UNRESOLVED — needs match,,0,2,0,single_direct,,2004-2015-nissan-titan-armada-bull-guard-w-skid-plate-matte-black,high,bghd-tit04-av-mb=Titan/Armada 2004 AVT-style matte black bull bar; handle=04-15 Nissan Titan/Armada bull guard with skid plate matte black; make/model/years/finish all match
bghd-ram091500-al-mb,B07L7ZLCBV,Stehlen 733469493044 Compatible with 2009-2018 Dodge Ram 1500/2019-2024 Classic Advance Se,,UNRESOLVED — needs match,,2,0,4,single_direct,,09-22-ram-1500-advanced-series-bull-guard-w-led-light-bar-matte-black,high,bghd-ram091500-al-mb=Ram 1500 2009 AL-series matte black bull bar; handle=09-22 Ram 1500 advanced series bull guard with LED bar matte black; title confirms 09-18+2019-24 Classic; make/model/years/finish all match
fggg-gr-jet99-h-bk,B07LC19X7P,Glossy Black Horizontal Front Hood Bumper Grill Grille Guard ABS Compatible With 99-05 VW,1999-2005-volkswagen-jetta-mk4-horizontal-front-grille-black,image-stem (confident),high,2,0,2,single_direct,PASS,,,jl_sku=jet99 horizontal glossy black; handle=99-05 VW Jetta MK4 horizontal black; make/model/years/style/finish all match
vs-camy02v2,B07MDF528K,Curved Style Smoke Window Visors Deflector Vent Shade Guard 4 Pieces v2 Compatible with 02,,UNRESOLVED — needs match,,2,0,3,single_direct,,,not-on-site,vs-camy02v2=Camry 2002 curved window visor v2; no window visor/deflector handles exist in catalog — category not stocked
th-flex09-c110,B07MKDSXGV,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible w",,UNRESOLVED — needs match,,0,2,0,single_direct,,,not-on-site,th-flex09-c110=Ford Flex 2009 class 3 hitch; no Ford Flex hitch handle in catalog
th-rx35010-c143,B07MNHX41C,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible w",2010-2015-lexus-rx350-rx450h-class-3-trailer-hitch-black,image-stem (confident),high,0,2,0,single_direct,PASS,,,jl_sku=rx35010 class 3 c143; handle=10-15 Lexus RX350/RX450h class 3 hitch; make/model/years/class all match
vs-expl024d,B07MNV366X,Curved Style Smoke Window Visors Deflector Vent Shade Guard 4 Pieces Compatible with 02-10,,UNRESOLVED — needs match,,0,2,0,single_direct,,,not-on-site,vs-expl02=Explorer 2002 4-door window visor; no window visor handles in catalog
bghd-colo15-av,B07NYWLPJV,Stehlen 733469493686 Compatible with 2015-2022 Chevy Colorado/GMC Canyon Advance Series Bu,,UNRESOLVED — needs match,,0,2,0,inferred_no_parent,,2015-2022-chevy-colorado-gmc-canyon-advanced-bull-guard-led-bar,high,bghd-colo15-av=Colorado 2015 AVT-series bull bar; handle=15-22 Colorado/Canyon advanced bull guard with LED bar; make/model/years/style all match
bghd-f25099-al,B07P14QV8K,Stehlen 733469493808 Compatible with 1999-2004 Ford F250 F350 F450 F550 Superduty / 2000-2,,UNRESOLVED — needs match,,0,2,0,inferred_no_parent,,1999-2004-ford-super-duty-advanced-series-bull-guard-matte-black,high,bghd-f25099-al=F250 Super Duty 1999 AL-series matte black bull bar; handle=99-04 Ford Super Duty advanced series matte black; make/model/years/style all match
bghd-colo15-av-mb,B07P1WS2Y5,Stehlen 733469493686 Compatible with 2015-2022 Chevy Colorado/GMC Canyon Advance Series Bu,,UNRESOLVED — needs match,,2,0,4,single_direct,,2015-2022-chevy-colorado-gmc-canyon-advanced-bull-guard-led-bar,high,bghd-colo15-av-mb=Colorado 2015 AVT matte black; same handle as B07NYWLPJV above; make/model/years/finish all match
fg-ram02-rvt-me-bk,B07P9418P3,Glossy Black RVT Rivet Bolt Steel Mesh Front Hood Bumper Grill Grille Guard ABS Compatible,2002-2005-dodge-ram-rivet-style-mesh-front-grille-black-abs,image-stem (confident),high,2,0,2,single_direct,PASS,,,jl_sku=ram02 rivet mesh glossy black; handle=02-05 Dodge Ram rivet-style mesh black ABS; make/model/years/style/finish all match
fggg-grz-f15004-h-mb,B07RRSJ2KS,Matte Black Horizontal Front Hood Bumper Grill Grille Guard ABS Compatible With 04-08 Ford,,UNRESOLVED — needs match,,0,2,0,single_direct,,2004-2008-ford-f-150-front-grille-matte-black-mesh-style,high,fggg-grz-f15004-h-mb=F150 2004 horizontal mesh matte black; handle=04-08 F-150 matte black mesh style; make/model/years/finish all match
thjz-rhs-ds-mb,B07TSB2KCW,Stehlen 733469495321 Universal Matte Black Hoop Style Trailer Tow Mount Rear Hitch Drop St,universal-2-receiver-hitch-step-matte-black-hs207-31bk,image-stem (confident),high,2,0,4,single_direct,PASS,,,jl_sku=thjz universal hoop-style hitch drop step matte black; handle=universal 2-inch receiver hitch step matte black; universal product/style/finish all match
sbds-ram09qc-v2-mb+sbds-ram09qc-v2-br,B07V7KGXTY,Matte Black Hoop Drop Step Side Nerf Bars Rail Running Boards v2 Compatible with 09-18 Dod,,UNRESOLVED — needs match,,2,0,2,combo_alias,,09-18-dodge-ram-1500-2500-3500-quad-cab-modular-side-step-bars,high,sbds-ram09qc=Ram 2009 quad cab hoop-drop step v2; handle=09-18 Dodge Ram quad cab modular side step bars; make/model/cab-type/years all match. Combo adds brown (br) color variant — same handle for the matte black (mb) variant.
fg-f25005-rvt-me-mb,B081W1DY1Z,Matte Black RVT Rivet Bolt Steel Mesh Front Hood Bumper Grill Grille Guard ABS Compatible,05-07-ford-f250-f350-f450-studded-mesh-rivet-grille-matte-black,image-stem (confident),high,0,2,0,single_direct,PASS,,,jl_sku=f25005 rivet mesh matte black; handle=05-07 F250/F350/F450 studded mesh rivet matte black; make/model/years/style/finish all match
sbda-taco05-6p+sbda-v2-86-mb,B0829LMDT4,Matte Black Aluminum Hoop Drop Step Side Nerf Bars Rail Running Boards v2 Compatible with,,UNRESOLVED — needs match,,0,2,0,combo_direct,,2005-2022-toyota-tacoma-86-aluminum-running-boards-matte-black,medium,sbda-taco05-6p=Tacoma 2005 6-piece aluminum running boards; sbda-v2-86-mb=86-series aluminum matte black; handle=05-22 Tacoma 86-inch aluminum running boards matte black. Cab type unspecified in SKU (no dc/ac suffix) and combo includes two components; verify cab fitment before promoting to high
fg-tit04-me-mb,B085LX2Q7F,Stehlen 642167821984 Compatible With 2004-2007 Titan / 2005-2007 Armada Mesh Front Hood Bu,,UNRESOLVED — needs match,,0,2,0,single_direct,,2004-2007-nissan-titan-armada-front-grille-matte-black,high,same SKU as B07YH539CJ above; fg-tit04-me-mb=Titan 2004 mesh matte black; handle=04-07 Nissan Titan/Armada matte black; make/model/years/finish all match
fg-f15004-rvt-me-mb,B085Z5J5LZ,Stehlen 642167821687 Compatible With 2004-2008 Ford F150 Rivet Bolt Steel Mesh Front Hood,2004-2008-ford-f-150-mesh-rivet-style-front-grille-matte-black,image-stem (confident),high,0,2,0,single_direct,PASS,,,jl_sku=f15004 rivet mesh matte black; handle=04-08 F-150 mesh rivet matte black; make/model/years/style/finish all match
tc-f15004-5.5-lth,B087L29BNF,Low Profile Hard Tri Fold Aluminum Truck Bed Tonneau Cover Compatible with 04-14 Ford F150,,UNRESOLVED — needs match,,2,0,5,single_direct,,2004-2014-ford-f-150-5-5ft-bed-hard-tri-fold-tonneau-cover,high,tc-f15004-5.5-lth=F150 2004 5.5ft low-profile hard tri-fold; handle=04-14 F-150 5.5ft hard tri-fold; make/model/years/bed-length/style all match
tc-ram09-6.5-lth,B087L8PNKV,Low Profile Hard Tri Fold Aluminum Truck Bed Tonneau Cover Compatible with 09-18 Dodge Ram,,UNRESOLVED — needs match,,2,0,2,single_direct,,09-18-dodge-ram-1500-6-5-bed-hard-tri-fold-tonneau-cover-243354,high,tc-ram09-6.5-lth=Ram 1500 2009 6.5ft hard tri-fold; handle=09-18 Dodge Ram 1500 6.5ft hard tri-fold; make/model/years/bed-length/style all match
tc-s1094-6-lth,B087LLSXQ7,Low Profile Hard Tri Fold Aluminum Truck Bed Tonneau Cover Compatible with 94-03 Chevy S10,,UNRESOLVED — needs match,,0,2,0,single_direct,,1994-2004-chevy-s10-gmc-sonoma-6ft-hard-tri-fold-tonneau-cover,high,tc-s1094-6=S10 1994 6ft hard tri-fold; handle=94-04 Chevy S10/GMC Sonoma 6ft hard tri-fold; make/model/years/bed-length/style all match
fggg-grzt-hhr06-me-mb,B088D46SXV,Stehlen 642167820888 Compatible With 2006-2011 Chevy HHR Mesh Front Hood Bumper Grille - M,,UNRESOLVED — needs match,,0,2,0,single_direct,,,not-on-site,fggg-grzt-hhr06=Chevy HHR 2006 grille; no HHR grille handle in catalog — only HHR result is a trailer hitch (2004-2011-chevrolet-cobalt-hhr-trailer-hitch-class-1); grille not cataloged
hlplnb-f15015fled-ab,B08FLYTWBM,Sequential Black Housing Full LED Tri Projector Headlights Signal Lamps Amber Reflector nb,2015-2017-ford-f-150-full-led-projector-headlights-black-amber,image-stem (confident),high,2,0,5,single_direct,PASS,,,jl_sku=f15015 full LED black amber; handle=15-17 F-150 full LED projector black amber; make/model/years/style/finish all match
sbrs-colo15cc-rs2-tb,B08PQCNQF2,Textured Black Round Pattern Rock Slider Rocker Style Side Step Rail Nerf Bars Running Boa,,UNRESOLVED — needs match,,0,2,0,single_direct,,,not-on-site,sbrs-colo15cc=Colorado 2015 crew cab rock slider; only rock slider handles in catalog are 2019 Ram 1500 crew cab and 2019 Silverado crew cab and 2022 Tundra — no Colorado rock slider exists
fggg-gr-camy10-me-ch,B01FTGCVPQ,Chrome Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 10-11 Toyota Camry,2010-2011-toyota-camry-front-grille-chrome-mesh-style,image-stem (confident),high,1,0,1,single_direct,PASS,,,jl_sku=camy10 mesh chrome; handle=10-11 Toyota Camry chrome mesh; make/model/years/style/finish all match
tc-s1094-6-lru,B01FTGD6JQ,Lock & Roll Up Soft Vinyl Truck Bed Tonneau Cover Compatible with 94-03 Chevy S10 GMC S15,,UNRESOLVED — needs match,,1,0,1,single_direct,,94-03-chevy-s10-gmc-sonoma-6-roll-up-tonneau-cover-led-lights,high,tc-s1094-6-lru=S10 1994 6ft roll-up; handle=94-03 Chevy S10/GMC Sonoma 6ft roll-up with LED lights; make/model/years/bed-length/style match
fg-ram94-h-bk,B01MU350Q0,Glossy Black Horizontal Front Hood Bumper Grill Grille Guard ABS Compatible With 94-01 Dod,1994-2002-dodge-ram-1500-2500-3500-horizontal-grille-black,image-stem (confident),high,1,0,1,single_direct,PASS,,,jl_sku=ram94 horizontal glossy black; handle=94-02 Dodge Ram horizontal black; make/model/years/style/finish all match
th-lib08-c245,B01MXI8MEU,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible w",2008-2012-jeep-liberty-class-3-trailer-hitch-black-mpn-13245,image-stem (confident),high,1,0,3,single_direct,PASS,,,jl_sku=lib08 class 3 c245; handle=08-12 Jeep Liberty class 3 MPN-13245; make/model/years/class/MPN all match
th-pilot03-c328,B01N7FTO2D,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible w",2001-2008-honda-pilot-acura-mdx-class-3-trailer-hitch-13328,image-stem (confident),high,1,0,5,single_direct,PASS,,,jl_sku=pilot03 class 3 c328; handle=01-08 Honda Pilot/Acura MDX class 3 hitch 13328; make/model/years/class/MPN all match
fg-yar064d-oe-mb,B071SDM6H5,Matte Black OE Honeycomb Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 06,,UNRESOLVED — needs match,,1,0,1,single_direct,,,not-on-site,fg-yar064d=Toyota Yaris 2006 4-door OE mesh matte black; no Toyota Yaris grille handle exists in catalog
bghd-dur11-am-mb,B077JJDY3Y,Stehlen 714937182844 Compatible with 2011-2013 Dodge Durango / 2011-2015 Jeep Grand Cherok,,UNRESOLVED — needs match,,1,0,1,single_direct,,2011-2016-durango-grand-cherokee-advanced-bull-guard-matte-black,high,bghd-dur11-am-mb=Durango 2011 AM-series matte black bull bar; handle=11-16 Durango/Grand Cherokee advanced bull guard matte black; title confirms Durango 11-13 + Grand Cherokee 11-15; make/model/years/finish all match
bghd-c1088-am-mb,B077JKPRQ2,Stehlen 714937182806 Compatible With 1988-2000 Chevy GMC C10 C/K Pickup/Silverado Sierra 3,,UNRESOLVED — needs match,,1,0,1,single_direct,,1992-1999-chevy-gmc-suburban-tahoe-yukon-bull-guard-matte-black,medium,bghd-c1088-am-mb=C10/C-K 1988-2000 AM-series matte black bull bar; no C10/CK-specific bull bar handle exists; closest is 92-99 Suburban/Tahoe/Yukon matte black which partially overlaps but is the wrong vehicle line (SUV vs truck); medium confidence — owner should verify if C10 truck and Suburban share the same bull bar fitment
fggg-grzv-f15004-vt-ch,B077KKVLPB,Chrome Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 04-08 Ford F150,2004-2008-ford-f-150-front-grille-chrome-vertical-style,image-stem (confident),high,1,0,1,single_direct,PASS,,,jl_sku=f15004 vertical chrome; handle=04-08 F-150 chrome vertical style; make/model/years/style/finish all match
tc-f15004-6.5-lru,B07D6YHSNV,Stehlen 714937188808 Compatible with 2004-2014 Ford F150 / 2006-2008 Lincoln Mark LT 6.5 F,,UNRESOLVED — needs match,,1,0,1,single_direct,,2004-2014-ford-f-150-6-5-roll-up-tonneau-cover-mpn-503309,high,tc-f15004-6.5-lru=F150 2004 6.5ft roll-up; handle=04-14 F-150 6.5ft roll-up MPN-503309; title confirms 04-14 F150 + 06-08 Mark LT 6.5ft; make/model/years/bed-length/style all match
bghd-ram091500-am-mb+flbw-40cree-lb-wh,B07DFCZSC2,Matte Black Studded Mesh Bull Bar Brush Push Front Bumper Grill Grille Guard with Skid Pla,,UNRESOLVED — needs match,,1,0,1,combo_alias,,09-22-ram-1500-advanced-series-bull-guard-w-led-light-bar-matte-black,medium,bghd-ram091500-am-mb=Ram 1500 2009 AM-series matte black bull bar; combo adds flbw-40cree LED light bar; handle=09-22 Ram 1500 advanced series with LED bar matte black covers the combo product; medium because combo pricing/LED combo may be a separate listing
fg-f25099-h-f-bk,B07H8V4TGZ,Glossy Black Horizontal Front Hood Bumper Grill Grille Guard ABS With Fog Lights Compatibl,,UNRESOLVED — needs match,,0,1,0,single_direct,,,not-on-site,fg-f25099-h-f-bk=F250 1999 horizontal grille WITH fog lights; catalog has F250 vertical chrome/black handles but no horizontal-with-fog-lights variant; not cataloged
