action_needed,jl_sku,amazon_asin,amazon_listing_title,verified_reviews_waiting,customer_photos_waiting,current_wrong_shopify_handle,my_proposed_shopify_handle,my_confidence,my_reasoning,CORRECT_SHOPIFY_HANDLE_OR_URL__PLEASE_FILL,team_notes
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,bghd-tun99-al,B07P11XPJZ,Stehlen 733469494140 Compatible with 1999 2000-2006 Toyota Tundra / 2001-2007 Sequoia Adva,0,0,,2000-2007-toyota-tundra-sequoia-advanced-bull-guard-matte-black,high,bghd-tun99-al=Tundra 1999 AL-series bull bar; handle=00-07 Toyota Tundra/Sequoia advanced bull guard matte black; title says 99-06 Tundra + 01-07 Sequoia; handle covers 2000-2007 range — 1999 Tundra is the only year slightly outside but handle is the correct product. Make/model/years/style match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,fg-tit04-me-mb,B07YH539CJ,Matte Black Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 04-07 Titan / 05,0,0,,2004-2007-nissan-titan-armada-front-grille-matte-black,high,fg-tit04-me-mb=Titan 2004 mesh matte black; handle=04-07 Nissan Titan/Armada matte black; make/model/years/finish all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,fg-tit04-me-mb,B085LX2Q7F,Stehlen 642167821984 Compatible With 2004-2007 Titan / 2005-2007 Armada Mesh Front Hood Bu,0,0,,2004-2007-nissan-titan-armada-front-grille-matte-black,high,same SKU as B07YH539CJ above; fg-tit04-me-mb=Titan 2004 mesh matte black; handle=04-07 Nissan Titan/Armada matte black; make/model/years/finish all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,fggg-grz-f15004-h-mb,B07RRSJ2KS,Matte Black Horizontal Front Hood Bumper Grill Grille Guard ABS Compatible With 04-08 Ford,0,0,,2004-2008-ford-f-150-front-grille-matte-black-mesh-style,high,fggg-grz-f15004-h-mb=F150 2004 horizontal mesh matte black; handle=04-08 F-150 matte black mesh style; make/model/years/finish all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,sbds-f15015sc-v2-mb+sbds-f15015sc-v2-br,B083ZN7JYB,Stehlen 642167819011 Compatible with 2015-2022 Ford F150 / 2017-2022 F250 F350 F450 F550 S,1,2,,2015-2018-ford-f-150-f-250-super-crew-modular-step-bars-matte-black,high,sbds-f15015sc=F150 2015 super crew hoop-drop step v2; handle=15-18 F-150/F-250 super crew modular step bars matte black; make/model/cab-type/years/finish all match. Combo adds brown (br) variant.,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,sbds-ram09qc-v2-mb+sbds-ram09qc-v2-br,B07V7KGXTY,Matte Black Hoop Drop Step Side Nerf Bars Rail Running Boards v2 Compatible with 09-18 Dod,2,2,,09-18-dodge-ram-1500-2500-3500-quad-cab-modular-side-step-bars,high,sbds-ram09qc=Ram 2009 quad cab hoop-drop step v2; handle=09-18 Dodge Ram quad cab modular side step bars; make/model/cab-type/years all match. Combo adds brown (br) color variant — same handle for the matte black (mb) variant.,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,sbds-sil07cc-v2-mb+sbds-sil07cc-v2-br,B07R34CZ9R,Matte Black Hoop Drop Step Side Nerf Bars Rail Running Boards v2 Compatible with 07-18 Che,1,1,,07-18-chevy-silverado-gmc-sierra-crew-cab-modular-step-bars-matte-black,high,sbds-sil07cc=Silverado 2007 crew cab hoop-drop step v2; handle=07-18 Silverado/Sierra crew cab modular step bars matte black; make/model/cab-type/years/finish all match. Combo adds brown (br) color variant — same handle for the matte black (mb) variant.,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,sbds-taco05dc-v2-mb+sbds-taco05dc-v2-br,B082QSVSKT,Matte Black Hoop Drop Step Side Nerf Bars Rail Running Boards v2 Compatible with 05-22 Toy,1,3,,2005-2018-toyota-tacoma-double-cab-modular-step-bars-matte-black,high,sbds-taco05dc=Tacoma 2005 double cab hoop-drop step v2; handle=05-18 Toyota Tacoma double cab modular step bars matte black; make/model/cab-type/years/finish all match. Combo adds brown (br) variant.,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,sbrs-sil19dc-rs2-tb,B08PQB9V23,Textured Black Round Pattern Rock Slider Rocker Style Side Step Rail Nerf Bars Running Boa,0,0,,2019-chevy-silverado-gmc-sierra-crew-cab-rock-sliders-texture-black,high,sbrs-sil19dc=Silverado 2019 double/crew cab rock slider RS2 texture black; handle=2019 Chevy Silverado/GMC Sierra crew cab rock sliders texture black; make/model/year/cab-type/finish all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,tc-c1088-6.5-lru,B07LC94NGC,Lock & Roll Up Soft Vinyl Truck Bed Tonneau Cover Compatible with 88-00 Chevy GMC C10 C/K,0,0,,1988-2000-gmc-c-k-1500-3500-6-5-roll-up-tonneau-cover-503301,high,tc-c1088-6.5-lru=C10/CK 1988 6.5ft roll-up; handle=88-00 GMC C/K 1500-3500 6.5ft roll-up MPN-503301; make/model/years/bed-length/style all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,tc-f15004-5.5-lth,B087L29BNF,Low Profile Hard Tri Fold Aluminum Truck Bed Tonneau Cover Compatible with 04-14 Ford F150,2,5,,2004-2014-ford-f-150-5-5ft-bed-hard-tri-fold-tonneau-cover,high,tc-f15004-5.5-lth=F150 2004 5.5ft low-profile hard tri-fold; handle=04-14 F-150 5.5ft hard tri-fold; make/model/years/bed-length/style all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,tc-f15004-6.5-lru,B07D6YHSNV,Stehlen 714937188808 Compatible with 2004-2014 Ford F150 / 2006-2008 Lincoln Mark LT 6.5 F,1,1,,2004-2014-ford-f-150-6-5-roll-up-tonneau-cover-mpn-503309,high,tc-f15004-6.5-lru=F150 2004 6.5ft roll-up; handle=04-14 F-150 6.5ft roll-up MPN-503309; title confirms 04-14 F150 + 06-08 Mark LT 6.5ft; make/model/years/bed-length/style all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,tc-f15015-5.5-lth,B087LLVHLM,Low Profile Hard Tri Fold Aluminum Truck Bed Tonneau Cover Compatible with 15-26 Ford F150,3,4,,2015-2026-ford-f-150-5-5ft-bed-hard-tri-fold-tonneau-cover-w-led,high,tc-f15015-5.5-lth=F150 2015+ 5.5ft low-profile hard tri-fold; handle=2015-2026 F-150 5.5ft hard tri-fold; make/model/years/bed-length/style all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,tc-ram09-5.8-lru,B07D6XZ6KF,Stehlen 714937188860 Compatible with 2009-2018 Dodge Ram 1500/2019-2024 Classic 5.7 Feet (,2,7,,09-18-ram-1500-5-8ft-flush-roll-up-vinyl-tonneau-cover-133353,high,"tc-ram09-5.8-lru=Ram 1500 2009 5.8ft (5'7"") roll-up; title confirms 09-18 Ram + 2019-24 Classic 5.7ft bed; handle=09-18 Ram 5.8ft flush roll-up; make/model/years/bed-length/style match",,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,tc-ram09-6.5-lth,B087L8PNKV,Low Profile Hard Tri Fold Aluminum Truck Bed Tonneau Cover Compatible with 09-18 Dodge Ram,2,2,,09-18-dodge-ram-1500-6-5-bed-hard-tri-fold-tonneau-cover-243354,high,tc-ram09-6.5-lth=Ram 1500 2009 6.5ft hard tri-fold; handle=09-18 Dodge Ram 1500 6.5ft hard tri-fold; make/model/years/bed-length/style all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,tc-ram19-5.8-hss,B07L5YMWFM,"Stehlen 733469493259 Compatible with 2019-2026 Dodge Ram 1500 New Body 5.7 Feet (68.4"") Sh",0,0,,2019-dodge-ram-5-8ft-bed-hard-tri-fold-tonneau-cover-low-profile,high,"tc-ram19-5.8-hss=Ram 1500 2019 5.8ft (5'7"") hard snap-shut/low-profile; handle=2019 Dodge Ram 5.8ft hard tri-fold low-profile; make/model/year/bed-length/style all match. Note title says 2019-2026 but handle only says 2019 — confirm if this handle covers full 2019-26 range",,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,tc-s1094-6-lru,B01FTGD6JQ,Lock & Roll Up Soft Vinyl Truck Bed Tonneau Cover Compatible with 94-03 Chevy S10 GMC S15,1,1,,94-03-chevy-s10-gmc-sonoma-6-roll-up-tonneau-cover-led-lights,high,tc-s1094-6-lru=S10 1994 6ft roll-up; handle=94-03 Chevy S10/GMC Sonoma 6ft roll-up with LED lights; make/model/years/bed-length/style match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,tc-s1094-6-lth,B087LLSXQ7,Low Profile Hard Tri Fold Aluminum Truck Bed Tonneau Cover Compatible with 94-03 Chevy S10,0,0,,1994-2004-chevy-s10-gmc-sonoma-6ft-hard-tri-fold-tonneau-cover,high,tc-s1094-6=S10 1994 6ft hard tri-fold; handle=94-04 Chevy S10/GMC Sonoma 6ft hard tri-fold; make/model/years/bed-length/style all match,,
3. VERIFY PROPOSAL — MEDIUM (finish/cab/year discrepancy),bghd-ava021500-av-mb,B07MZJ4279,Matte Black AVT Style Bull Bar Brush Push Front Bumper Grill Grille Guard with Skid Plate,0,0,,99-07-silverado-sierra-1500-advanced-bull-guard-w-skid-plate-matte-black,medium,bghd-ava021500-av-mb=Avalanche/Silverado 1500 2002 AVT matte black bull bar; handle=99-07 Silverado/Sierra 1500 advanced bull guard skid plate matte black covers the shared GMT800 platform; medium because Avalanche is not named in handle — owner should confirm Avalanche is fitment-compatible with Silverado 1500 on this product,,
3. VERIFY PROPOSAL — MEDIUM (finish/cab/year discrepancy),bghd-c1088-am-mb,B077JKPRQ2,Stehlen 714937182806 Compatible With 1988-2000 Chevy GMC C10 C/K Pickup/Silverado Sierra 3,1,1,,1992-1999-chevy-gmc-suburban-tahoe-yukon-bull-guard-matte-black,medium,bghd-c1088-am-mb=C10/C-K 1988-2000 AM-series matte black bull bar; no C10/CK-specific bull bar handle exists; closest is 92-99 Suburban/Tahoe/Yukon matte black which partially overlaps but is the wrong vehicle line (SUV vs truck); medium confidence — owner should verify if C10 truck and Suburban share the same bull bar fitment,,
3. VERIFY PROPOSAL — MEDIUM (finish/cab/year discrepancy),bghd-exped03-al-mb,B07L81FKDJ,Stehlen 733469493105 Compatible with 2004-2023 Ford F150 / 2003-2017 Expedition / 2003-201,1,2,,1997-2004-ford-f-150-f-250-expedition-advanced-bull-guard-black,medium,bghd-exped03-al-mb=Expedition 2003 AL-series matte black bull bar; title covers F150 04-23+Expedition 03-17; handle=97-04 F-150/F-250/Expedition advanced bull guard black covers only part of the range; medium because handle years end at 2004 but product title runs to 2023 — likely multiple handles needed,,
3. VERIFY PROPOSAL — MEDIUM (finish/cab/year discrepancy),bghd-ram091500-am-mb+flbw-40cree-lb-wh,B07DFCZSC2,Matte Black Studded Mesh Bull Bar Brush Push Front Bumper Grill Grille Guard with Skid Pla,1,1,,09-22-ram-1500-advanced-series-bull-guard-w-led-light-bar-matte-black,medium,bghd-ram091500-am-mb=Ram 1500 2009 AM-series matte black bull bar; combo adds flbw-40cree LED light bar; handle=09-22 Ram 1500 advanced series with LED bar matte black covers the combo product; medium because combo pricing/LED combo may be a separate listing,,
3. VERIFY PROPOSAL — MEDIUM (finish/cab/year discrepancy),fg-ram14oe-me-mb,B07YGNWMYJ,Matte Black OE Honeycomb Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 13-,2,2,,2013-2024-ram-1500-oem-mesh-style-front-grille-black,medium,fg-ram14oe-me-mb=Ram 1500 2014 OE mesh matte black; only matte black OE handle in catalog is labeled -black not -matte-black; product is likely the same but finish label discrepancy warrants owner confirmation,,
3. VERIFY PROPOSAL — MEDIUM (finish/cab/year discrepancy),fg-sil99-me-bk,B07LC2GCK7,Glossy Black Mesh Front Hood Bumper Grill Grille Guard Conversion Compatible With 99-02 Ch,5,7,,99-06-chevy-silverado-tahoe-suburban-black-horizontal-grille,medium,fg-sil99-me-bk=Silverado 1999 mesh glossy black; title says 99-02 Chevy. Handle covers 99-06 Silverado/Tahoe/Suburban horizontal black — same product family but title says mesh conversion not horizontal; verify style matches before promoting to high,,
3. VERIFY PROPOSAL — MEDIUM (finish/cab/year discrepancy),fggg-grbt-impa06lo-me-ch,B08VDRSGPZ,Stehlen 642167823711 Compatible With 2006-2013 Chevy Impala / 2014-2016 Limited Mesh Front,1,1,,2006-2016-chevy-impala-monte-carlo-front-grille-chrome,medium,fggg-grbt-impa06lo-me-ch=Impala 2006 lower bumper chrome mesh; handle=06-16 Impala/Monte Carlo front grille chrome; this is the lower bumper grille but the handle covers the full/upper grille chrome — functionally the grille chrome line is the same product family; medium because lower vs upper grille is a fitment dimension,,
3. VERIFY PROPOSAL — MEDIUM (finish/cab/year discrepancy),hlpk2-c1088hled-bb+blyd-c1088-jdm+clyd-cpu94-jdm,B00R16TZL6,Black Clear Housing Projector Headlights With Halo LED k2 + Bumper Signal Lights yd + Corn,6,13,,,medium,92-99-chevy-gmc-suburban-tahoe-yukon-halo-led-projector-headlights; combo includes c1088 (88-98 C10/K1500) halo LED headlights — stem hlpk2-c1088hled maps to that handle but combo includes bumper signal lights (blyd) and corner lights (clyd) not individually cataloged,,
3. VERIFY PROPOSAL — MEDIUM (finish/cab/year discrepancy),sbda-taco05-6p+sbda-v2-86-mb,B0829LMDT4,Matte Black Aluminum Hoop Drop Step Side Nerf Bars Rail Running Boards v2 Compatible with,0,0,,2005-2022-toyota-tacoma-86-aluminum-running-boards-matte-black,medium,sbda-taco05-6p=Tacoma 2005 6-piece aluminum running boards; sbda-v2-86-mb=86-series aluminum matte black; handle=05-22 Tacoma 86-inch aluminum running boards matte black. Cab type unspecified in SKU (no dc/ac suffix) and combo includes two components; verify cab fitment before promoting to high,,
3. VERIFY PROPOSAL — MEDIUM (finish/cab/year discrepancy),sbds-f15009cc-v2-mb+sbds-f15009cc-v2-br,B083ZLMQYM,Stehlen 642167818991 Compatible with 2009-2014 Ford F150 SuperCrew (Crew) Cab Hoop Drop St,1,1,,2009-2014-ford-f-150-supercrew-4-step-bars-matte-black,medium,sbds-f15009cc=F150 2009 crew cab hoop-drop step v2; handle=09-14 F-150 SuperCrew 4-inch step bars matte black; make/model/cab-type/years/finish match but bar diameter unconfirmed (v2 step bars may be a different diameter than the 4-inch oval in the handle); medium — verify before adding,,
3. VERIFY PROPOSAL — MEDIUM (finish/cab/year discrepancy),sbhd-f15004sc-5-mb,B07SRF5SSL,"Stehlen 733469496953 Compatible with 2004-2008 Ford F150 Super (Extended) Cab 5"" Oval Side",0,0,,04-08-ford-f-150-super-cab-5-oval-side-step-bars-black,medium,sbhd-f15004sc-5-mb=F150 2004 Super Cab 5-inch oval matte black; closest handle is the glossy black 5-oval super cab variant (-bk not -mb); no dedicated matte black 5-inch super cab F150 04-08 handle exists — black handle is the best available match but finish differs,,
3. VERIFY PROPOSAL — MEDIUM (finish/cab/year discrepancy),sbhd-tit04xc-4-bk,B07T81XG6C,Stehlen 733469496670 Compatible with 2004-2024 Titan / 2017-2019 Titan XD King (Extended),0,0,,2004-2024-nissan-titan-crew-cab-4-oval-side-step-bars-matte-black,medium,sbhd-tit04xc-4-bk=Titan 2004 XC (extended/king cab) 4-inch black; handle=04-24 Nissan Titan crew cab 4-oval matte black; title confirms extended cab for 2017-19 Titan XD; note: jl_sku -bk means glossy black but handle says matte black — finish discrepancy; also xc may be extended cab not crew cab; medium until finish and cab-type confirmed,,
4. REVIEW PROPOSAL — LOW (likely wrong),fg-escl02-me-bk,B085PPZQHP,Stehlen 642167821670 Compatible With 2002-2006 Cadillac Escalade Mesh Front Hood Bumper Gr,0,0,,02-06-cadillac-escalade-front-grille-chrome-mesh-style,low,fg-escl02-me-bk=Escalade 2002 mesh glossy black; only Escalade 02-06 grille handle is chrome mesh; no matte/glossy black Escalade 02-06 handle exists; chrome is wrong finish — low confidence,,
4. REVIEW PROPOSAL — LOW (likely wrong),tc-sil99-6.5-lth,B087LYSTZQ,Low Profile Hard Tri Fold Aluminum Truck Bed Tonneau Cover Compatible with 99-06 Chevy Sil,0,0,,,low,tc-sil99-6.5-lth=Silverado 1999 6.5ft low-profile hard tri-fold; catalog has 99-07 roll-up covers for Silverado 6.5ft but no hard tri-fold for that year range; closest is 2007-2013-chevy-silverado-6-5ft-low-profile-hard-tri-fold-tonneau-cover (wrong years) — no high-confidence match,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,crjz-tr-4000fs-ar-mb+crjz-tire-fs-mb,B08P2RZRR5,Stehlen 642167818793 Universal Fit for Full Size Pickup Trucks CR1 Chase Rack Truck Bed Ro,9,17,,,not-on-site,crjz=chase rack; no chase rack / bed rack handle exists in catalog,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,fg-f25099-h-f-bk,B07H8V4TGZ,Glossy Black Horizontal Front Hood Bumper Grill Grille Guard ABS With Fog Lights Compatibl,0,0,,,not-on-site,fg-f25099-h-f-bk=F250 1999 horizontal grille WITH fog lights; catalog has F250 vertical chrome/black handles but no horizontal-with-fog-lights variant; not cataloged,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,fg-nav98-vt-bk,B07LC1H1QM,Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 98-02 Linco,1,1,,,not-on-site,fg-nav98-vt-bk=Navigator 1998 vertical glossy black; only Navigator grille handle in catalog is chrome vertical (1998-2003-lincoln-navigator-blackwood-chrome-vertical-front-grille) — no black Navigator vertical grille handle,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,fg-taco12oe-bk,B085LWNF4J,Stehlen 642167821496 Compatible With 2012-2015 Toyota Tacoma OE Mesh Front Hood Bumper Gri,0,0,,,not-on-site,fg-taco12oe-bk=Tacoma 2012 OE mesh glossy black; Tacoma grille handles in catalog run 2005-2011 only; no 2012-2015 Tacoma grille handle exists in catalog,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,fg-yar064d-oe-mb,B071SDM6H5,Matte Black OE Honeycomb Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 06,1,1,,,not-on-site,fg-yar064d=Toyota Yaris 2006 4-door OE mesh matte black; no Toyota Yaris grille handle exists in catalog,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,fggg-grzt-hhr06-me-mb,B088D46SXV,Stehlen 642167820888 Compatible With 2006-2011 Chevy HHR Mesh Front Hood Bumper Grille - M,0,0,,,not-on-site,fggg-grzt-hhr06=Chevy HHR 2006 grille; no HHR grille handle in catalog — only HHR result is a trailer hitch (2004-2011-chevrolet-cobalt-hhr-trailer-hitch-class-1); grille not cataloged,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,fggg-grzt-taho07-me-ch,B086VT9855,Chrome Mesh Front Hood Bumper Grill Grille Guard ABS 1 Piece Design Compatible With 07-13,0,0,,,not-on-site,fggg-grzt-taho07-me-ch=Tahoe 2007 mesh chrome; Tahoe 07-14 grille handle only exists in matte black (07-14-chevy-tahoe-suburban-avalanche-front-grille-matte-black); no chrome Tahoe 07 grille handle in catalog,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,mfg-f15021,B0BRDK5S8X,Molded Black Front + Rear Side Fender Mud Flaps Splash Guards 4 Pieces Compatible with 202,1,4,,,not-on-site,mfg-f15021=F150 2021 molded mud flap; no mud flap / splash guard handles exist anywhere in catalog,,
5. NOT IN STEHLENAUTO CATALOG — confirm skip or add product,s223043,B0832K18QL,"4"" Oval Bent End Black Side Step Nerf Bars Rail Running Boards Compatible with 15-22 Ford",3,6,,,not-on-site,s223043 is a generic SKU number; title says 4-inch oval bent end F150 15-22; catalog has 2015-2018 F-150/F-250 super crew modular step bars but no 4-inch oval bent-end F150 2015-22 handle — no exact match in catalog,,
