handle,amazon_title,asin,review_count,verdict,reason
1999-2005-volkswagen-jetta-mk4-front-bumper-grille-matte-black,"Glossy Black Horizontal Front Hood Bumper Grill Grille Guard ABS Compatible With 99-05 VW Jetta/Bora MK4",B07LC19X7P,2,KEEP,Part type matches (front bumper grille). Vehicle and year range match. ASIN specifies horizontal style not captured in handle slug but not a mismatch. Reviews confirm VW purchase satisfaction.
2001-2008-honda-pilot-acura-mdx-class-3-trailer-hitch-13328,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible with 03-08 Honda Pilot / 01-06 Acura MDX",B01N7FTO2D,1,NEEDS_REMAP,YEAR RANGE OVERSTATED IN HANDLE: Handle claims 2001-2008 for both Pilot and MDX. ASIN covers 03-08 Pilot (handle starts 2 years early for Pilot) and 01-06 MDX (handle ends 2 years late for MDX). A 2001-2002 Pilot buyer would receive a non-fitting hitch. Part type (Class 3 / 2-inch) and vehicle class match. Correct the handle year range to match ASIN: 03-08 Pilot / 01-06 MDX.
2015-2017-ford-f-150-full-led-projector-headlights-black-amber,"Sequential Black Housing Full LED Tri Projector Headlights Signal Lamps Amber Reflector nb Compatible With 15-17 Ford F150",B08FLYTWBM,2,KEEP,Part type matches (full LED projector headlights). Vehicle and year range match exactly. Reviews confirm LED headlight install on F150 with before/after photos and proper aiming notes.
2003-2014-lincoln-navigator-mark-lt-bull-guard-matte-black-led-bar,"Stehlen 733469493105 Compatible with 2004-2023 Ford F150 / 2003-2017 Expedition / 2003-2014 Lincoln Navigator / 2006-2008 Mark LT Advance Series Aluminum LED Bull Bar - Matte Black",B07L81FKDJ,1,KEEP,Part type matches (aluminum LED bull bar). Navigator and Mark LT are correctly named in both ASIN and handle. ASIN additionally covers F150 and Expedition — the single review describes an Expedition install which is within the ASIN fitment list. Stehlen part number confirms SKU lineage.
99-07-silverado-sierra-1500-bull-guard-mesh-skid-plate-matte-black,"Matte Black AVT Style Bull Bar Brush Push Front Bumper Grill Grille Guard with Skid Plate Compatible with 99-07 Chevy Silverado GMC Sierra / 00-06 Suburban Tahoe Yukon 1500",B078P878D8,3,KEEP,Part type matches (bull bar / brush guard with skid plate). Vehicle and year range match. Reviews confirm Silverado and Suburban installs within stated year range.
94-03-chevy-s10-gmc-sonoma-6-tonneau-cover-led-bed-light-kit,"Lock & Roll Up Soft Vinyl Truck Bed Tonneau Cover Compatible with 94-03 Chevy S10 GMC S15 Sonoma / 96-00 Isuzu Hombre 6 Ft (72"") Bed",B01FTGD6JQ,1,NEEDS_REMAP,LED BUNDLE CLAIM NOT IN ASIN: Handle slug includes 'led-bed-light-kit' implying a bundled LED light. ASIN title describes a standalone roll-up soft vinyl tonneau cover with no LED component. If the Shopify product is a combo SKU it must be mapped to the correct ASIN (one that includes the LED kit) or the handle renamed. Vehicle and tonneau type (roll-up soft vinyl / 6ft bed) otherwise match.
09-22-ram-1500-advanced-series-bull-guard-w-led-light-bar-matte-black,"Stehlen 733469493044 Compatible with 2009-2018 Dodge Ram 1500/2019-2024 Classic Advance Series Aluminum LED Bull Bar - Matte Black",B07L7ZLCBV,2,KEEP,Part type matches (aluminum LED bull bar). ASIN covers DS-gen (2009-2018) and DT Classic (2019-2024). Handle says 09-22 — the DT Classic ran through 2021 MY so 2022 in the handle is a 1-year overshoot but not a different product generation. Stehlen part number confirms SKU. Reviews confirm Ram 1500 install.
2019-2024-ram-1500-tonneau-cover-led-light-combo-5-7ft-bed,"Stehlen 714937188860 Compatible with 2009-2018 Dodge Ram 1500/2019-2024 Classic 5.7 Feet (68.4"") Short Bed Lock and Roll Up Tonneau Cover - Black",B07D6XZ6KF,2,NEEDS_REMAP,HANDLE YEAR RANGE TRUNCATED + LED CLAIM UNVALIDATED: Handle says 2019-2024 only; ASIN covers 2009-2018 DS-gen AND 2019-2024 Classic. One reviewer explicitly states 2015 Ram 1500 which is DS-gen within ASIN coverage but outside handle scope. Handle also claims 'led-light-combo' — not present in ASIN title. Shopify product may be a combo SKU but the ASIN is a standalone tonneau. Correct handle to 2009-2024 and verify LED bundle or remove LED claim.
2017-2022-ford-super-duty-crew-cab-5-steel-side-step-bars-black,"4"" Oval Bent End Black Side Step Nerf Bars Rail Running Boards Compatible with 15-22 Ford F150 SuperCrew / 17-22 F250 F350 F450 F550 Superduty Crew Cab",B0832K18QL,4,NEEDS_REMAP,STEP SIZE MISMATCH + CROSS-ASIN REVIEW CONTAMINATION: Handle slug says '5-steel-side-step-bars'; ASIN B0832K18QL is a 4-inch oval bar. A second ASIN (B07JR9DQS5 from fuzzy-match CSV) is a 5-inch oval bar and was routed to the same handle — review R1LFMYNWO5WYM2 has an image path prefixed B07JR9DQS5_ confirming cross-ASIN photo bleed. ASIN also covers 2015-2022 F150 SuperCrew which the handle omits. Cannot keep: 4-inch vs 5-inch is a material product difference that drives returns and misleads on step height.
2004-2008-ford-f-150-front-grille-chrome-vertical-style,"Chrome Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 04-08 Ford F150",B077KKVLPB,1,KEEP,Part type matches (chrome vertical front grille). Vehicle and year range match exactly. Review confirms truck grille install.
2005-2011-toyota-tacoma-honeycomb-mesh-front-grille-matte-black,"Matte Black OE Honeycomb Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 06 07-09 Toyota Yaris 4 Door Sedan",B071SDM6H5,1,DROP,WRONG VEHICLE. Handle = 2005-2011 Toyota Tacoma. ASIN = 2006-2009 Toyota Yaris 4-door Sedan. Tacoma is a mid-size pickup; Yaris is a subcompact hatchback/sedan — completely different grille geometry. Review explicitly states 'My Yaris is beat up' and references Yaris grille replacement. No overlap in vehicle application.
2008-2012-jeep-liberty-class-3-trailer-hitch-black-mpn-13245,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible with 08-12 Jeep Liberty",B01MXI8MEU,1,KEEP,Part type matches (Class 3 / 2-inch hitch). Vehicle and year range match exactly. Review confirms 2010 Jeep Liberty install with detailed install notes.
2006-2011-cadillac-dts-chrome-vertical-front-grille-custom,"Chrome Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 06-11 Cadillac DTS",B077JLPPJX,2,KEEP,Part type matches (chrome vertical front grille). Vehicle and year range match exactly. Reviews confirm DTS install.
2003-2006-ford-expedition-vertical-style-front-grille-black-abs,"Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 03-06 Ford Expedition",B07LC1GGNX,1,KEEP,Part type matches (vertical front grille). Vehicle and year range match exactly. Review confirms Expedition install.
2010-2011-toyota-camry-front-grille-chrome-mesh-style,"Chrome Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 10-11 Toyota Camry",B01FTGCVPQ,1,KEEP,Part type matches (chrome mesh front grille). Vehicle and year range match exactly. Review confirms 2010 Camry install.
04-14-ford-f-150-5-5-roll-up-tonneau-cover-w-led-bed-lights,"Low Profile Hard Tri Fold Aluminum Truck Bed Tonneau Cover Compatible with 04-14 Ford F150 / 06-08 Lincoln Mark LT 5.5 Ft (66"") Short Bed",B087L29BNF,2,DROP,WRONG TONNEAU SUB-TYPE + LED CLAIM NOT IN ASIN: Handle says 'roll-up' — ASIN is explicitly a 'Hard Tri Fold Aluminum' cover. These are materially different products (different price point, aesthetics, security level, and install method). Shipping a hard tri-fold to a customer expecting a roll-up is a guaranteed return. Handle also claims 'led-bed-lights' — not present in ASIN title. Vehicle and bed length (5.5ft) match but sub-type mismatch makes this a DROP.
2006-2008-lincoln-mark-lt-6-5-tri-fold-tonneau-cover-led-light-kit,"Stehlen 714937188808 Compatible with 2004-2014 Ford F150 / 2006-2008 Lincoln Mark LT 6.5 Feet (78"") Bed Lock and Roll Up Tonneau Cover - Black",B07D6YHSNV,1,NEEDS_REMAP,TONNEAU SUB-TYPE INVERSION + LED CLAIM UNVALIDATED: Handle says 'tri-fold'; ASIN says 'Lock and Roll Up.' Roll-up and tri-fold are different closure mechanisms — material return risk. Handle also claims 'led-light-kit' not present in ASIN title. Review confirms a roll-up tonneau on a 2010 F150 6.5ft bed — the ASIN product (roll-up) is what was reviewed. If Shopify product is truly a tri-fold this ASIN is wrong; if Shopify product is a roll-up the handle slug is wrong. Requires human resolution.
2013-2022-ram-1500-honeycomb-rebel-style-front-grille-matte-black,"Stehlen 642167821885 Compatible With 2013-2018 Ram 1500/2019-2024 Classic Rebel Honeycomb Mesh Front Hood Bumper Grille - Matte Black",B085Q54ZKD,1,KEEP,Part type matches (honeycomb Rebel-style front grille / matte black). ASIN covers 2013-2018 + 2019-2024 Classic; handle says 2013-2022. DT Classic ended MY2021 so 2022 in handle is a 1-year overshoot — not a different part. Stehlen part number confirms SKU. Review confirms 2019 Ram 1500 Classic install.
04-09-toyota-highlander-lexus-rx-class-3-trailer-hitch-black,"Class 1 I Black 1.25"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible with 04-09 Toyota Prius",B07JKLQPGL,1,DROP,TRIPLE MISMATCH — WRONG CLASS + WRONG VEHICLE + WRONG RECEIVER SIZE: Handle = Highlander/Lexus RX Class 3 (2-inch receiver). ASIN = Toyota Prius Class 1 (1.25-inch receiver). Class 1 vs Class 3 is not a remap candidate — they use different receiver tubes; Class 1 cannot accept Class 2/3 accessories. Vehicle is also entirely wrong (Prius vs Highlander/Lexus RX). Review confirms Prius install with bike rack. A Highlander buyer receiving a Class 1 Prius hitch is a safety and fitment failure.
2010-2024-toyota-4runner-bull-guard-w-led-light-bar-matte-black-1,"Stehlen 733469493495 Compatible with 2010-2024 Toyota 4Runner Advance Series Aluminum LED Bull Bar - Matte Black",B07P32H1B7,1,KEEP,Part type matches (aluminum LED bull bar). Vehicle and year range match exactly. Stehlen part number confirms SKU. Review confirms 4Runner install with honest install-time note (sensor interaction).
1993-2011-ford-ranger-6-bed-tri-fold-tonneau-cover-w-led-lights,"Depo Chrome Clear Housing Front Bumper Turn Signal Lights Parking Lamps Side Marker Reflector dp Compatible With 85-92 Camaro/Firebird",B07M5J6QT6,0,DROP,EXTREME MISMATCH — NOT IN REVIEW BUNDLE BUT IN FUZZY-MATCH CSV: ASIN = 1985-1992 Camaro/Firebird front turn signal / parking lamps. Handle = 1993-2011 Ford Ranger 6ft bed tri-fold tonneau cover. Different decade, different vehicle brand, different part type entirely. Fuzzy-match confidence = low (0.269). This ASIN was correctly excluded from amazon-reviews.json; the CSV row must also be excluded. Do not associate this ASIN with any Stehlen handle.
