jl_sku,asin,title,resolved_handle,method,confidence,verified_reviews,inferred_reviews,photos,jl_sku_resolution
th-flex09-c110,B07MKDSXGV,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible w",,UNRESOLVED — needs match,,0,2,0,single_direct
th-rx35010-c143,B07MNHX41C,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible w",2010-2015-lexus-rx350-rx450h-class-3-trailer-hitch-black,image-stem (confident),high,0,2,0,single_direct
vs-expl024d,B07MNV366X,Curved Style Smoke Window Visors Deflector Vent Shade Guard 4 Pieces Compatible with 02-10,,UNRESOLVED — needs match,,0,2,0,single_direct
bghd-colo15-av,B07NYWLPJV,Stehlen 733469493686 Compatible with 2015-2022 Chevy Colorado/GMC Canyon Advance Series Bu,2015-2022-chevy-colorado-gmc-canyon-advanced-bull-guard-led-bar,image-stem (confident),high,0,2,0,inferred_no_parent
bghd-f25099-al,B07P14QV8K,Stehlen 733469493808 Compatible with 1999-2004 Ford F250 F350 F450 F550 Superduty / 2000-2,1999-2004-ford-super-duty-advanced-series-bull-guard-matte-black,image-stem (confident),high,0,2,0,inferred_no_parent
bghd-colo15-av-mb,B07P1WS2Y5,Stehlen 733469493686 Compatible with 2015-2022 Chevy Colorado/GMC Canyon Advance Series Bu,2015-2022-chevy-colorado-gmc-canyon-advanced-bull-guard-led-bar,image-stem (confident),high,2,0,4,single_direct
fg-ram02-rvt-me-bk,B07P9418P3,Glossy Black RVT Rivet Bolt Steel Mesh Front Hood Bumper Grill Grille Guard ABS Compatible,2002-2005-dodge-ram-rivet-style-mesh-front-grille-black-abs,image-stem (confident),high,2,0,2,single_direct
fggg-grz-f15004-h-mb,B07RRSJ2KS,Matte Black Horizontal Front Hood Bumper Grill Grille Guard ABS Compatible With 04-08 Ford,2004-2008-ford-f-150-front-grille-matte-black-mesh-style,image-stem (confident),high,0,2,0,single_direct
thjz-rhs-ds-mb,B07TSB2KCW,Stehlen 733469495321 Universal Matte Black Hoop Style Trailer Tow Mount Rear Hitch Drop St,universal-2-receiver-hitch-step-matte-black-hs207-31bk,image-stem (confident),high,2,0,4,single_direct
sbds-ram09qc-v2-mb+sbds-ram09qc-v2-br,B07V7KGXTY,Matte Black Hoop Drop Step Side Nerf Bars Rail Running Boards v2 Compatible with 09-18 Dod,09-18-dodge-ram-1500-2500-3500-quad-cab-modular-side-step-bars,image-stem (confident),high,2,0,2,combo_alias
fg-f25005-rvt-me-mb,B081W1DY1Z,Matte Black RVT Rivet Bolt Steel Mesh Front Hood Bumper Grill Grille Guard ABS Compatible ,05-07-ford-f250-f350-f450-studded-mesh-rivet-grille-matte-black,image-stem (confident),high,0,2,0,single_direct
sbda-taco05-6p+sbda-v2-86-mb,B0829LMDT4,Matte Black Aluminum Hoop Drop Step Side Nerf Bars Rail Running Boards v2 Compatible with ,,UNRESOLVED — needs match,,0,2,0,combo_direct
fg-tit04-me-mb,B085LX2Q7F,Stehlen 642167821984 Compatible With 2004-2007 Titan / 2005-2007 Armada Mesh Front Hood Bu,2004-2007-nissan-titan-armada-front-grille-matte-black,image-stem (confident),high,0,2,0,single_direct
fg-f15004-rvt-me-mb,B085Z5J5LZ,Stehlen 642167821687 Compatible With 2004-2008 Ford F150 Rivet Bolt Steel Mesh Front Hood ,2004-2008-ford-f-150-mesh-rivet-style-front-grille-matte-black,image-stem (confident),high,0,2,0,single_direct
tc-f15004-5.5-lth,B087L29BNF,Low Profile Hard Tri Fold Aluminum Truck Bed Tonneau Cover Compatible with 04-14 Ford F150,2004-2014-ford-f-150-5-5ft-bed-hard-tri-fold-tonneau-cover,image-stem (confident),high,2,0,5,single_direct
tc-ram09-6.5-lth,B087L8PNKV,Low Profile Hard Tri Fold Aluminum Truck Bed Tonneau Cover Compatible with 09-18 Dodge Ram,09-18-dodge-ram-1500-6-5-bed-hard-tri-fold-tonneau-cover-243354,image-stem (confident),high,2,0,2,single_direct
tc-s1094-6-lth,B087LLSXQ7,Low Profile Hard Tri Fold Aluminum Truck Bed Tonneau Cover Compatible with 94-03 Chevy S10,1994-2004-chevy-s10-gmc-sonoma-6ft-hard-tri-fold-tonneau-cover,image-stem (confident),high,0,2,0,single_direct
fggg-grzt-hhr06-me-mb,B088D46SXV,Stehlen 642167820888 Compatible With 2006-2011 Chevy HHR Mesh Front Hood Bumper Grille - M,,UNRESOLVED — needs match,,0,2,0,single_direct
hlplnb-f15015fled-ab,B08FLYTWBM,Sequential Black Housing Full LED Tri Projector Headlights Signal Lamps Amber Reflector nb,2015-2017-ford-f-150-full-led-projector-headlights-black-amber,image-stem (confident),high,2,0,5,single_direct
sbrs-colo15cc-rs2-tb,B08PQCNQF2,Textured Black Round Pattern Rock Slider Rocker Style Side Step Rail Nerf Bars Running Boa,,UNRESOLVED — needs match,,0,2,0,single_direct
fggg-gr-camy10-me-ch,B01FTGCVPQ,Chrome Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 10-11 Toyota Camry,2010-2011-toyota-camry-front-grille-chrome-mesh-style,image-stem (confident),high,1,0,1,single_direct
tc-s1094-6-lru,B01FTGD6JQ,Lock & Roll Up Soft Vinyl Truck Bed Tonneau Cover Compatible with 94-03 Chevy S10 GMC S15 ,94-03-chevy-s10-gmc-sonoma-6-roll-up-tonneau-cover-led-lights,image-stem (confident),high,1,0,1,single_direct
fg-ram94-h-bk,B01MU350Q0,Glossy Black Horizontal Front Hood Bumper Grill Grille Guard ABS Compatible With 94-01 Dod,1994-2002-dodge-ram-1500-2500-3500-horizontal-grille-black,image-stem (confident),high,1,0,1,single_direct
th-lib08-c245,B01MXI8MEU,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible w",2008-2012-jeep-liberty-class-3-trailer-hitch-black-mpn-13245,image-stem (confident),high,1,0,3,single_direct
th-pilot03-c328,B01N7FTO2D,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible w",2001-2008-honda-pilot-acura-mdx-class-3-trailer-hitch-13328,image-stem (confident),high,1,0,5,single_direct
fg-yar064d-oe-mb,B071SDM6H5,Matte Black OE Honeycomb Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 06 ,,UNRESOLVED — needs match,,1,0,1,single_direct
bghd-dur11-am-mb,B077JJDY3Y,Stehlen 714937182844 Compatible with 2011-2013 Dodge Durango / 2011-2015 Jeep Grand Cherok,2011-2016-durango-grand-cherokee-advanced-bull-guard-matte-black,image-stem (confident),high,1,0,1,single_direct
bghd-c1088-am-mb,B077JKPRQ2,Stehlen 714937182806 Compatible With 1988-2000 Chevy GMC C10 C/K Pickup/Silverado Sierra 3,,UNRESOLVED — needs match,,1,0,1,single_direct
fggg-grzv-f15004-vt-ch,B077KKVLPB,Chrome Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 04-08 Ford F150,2004-2008-ford-f-150-front-grille-chrome-vertical-style,image-stem (confident),high,1,0,1,single_direct
tc-f15004-6.5-lru,B07D6YHSNV,Stehlen 714937188808 Compatible with 2004-2014 Ford F150 / 2006-2008 Lincoln Mark LT 6.5 F,2004-2014-ford-f-150-6-5-roll-up-tonneau-cover-mpn-503309,image-stem (confident),high,1,0,1,single_direct
bghd-ram091500-am-mb+flbw-40cree-lb-wh,B07DFCZSC2,Matte Black Studded Mesh Bull Bar Brush Push Front Bumper Grill Grille Guard with Skid Pla,,UNRESOLVED — needs match,,1,0,1,combo_alias
fg-f25099-h-f-bk,B07H8V4TGZ,Glossy Black Horizontal Front Hood Bumper Grill Grille Guard ABS With Fog Lights Compatibl,,UNRESOLVED — needs match,,0,1,0,single_direct
th-cor03-a265,B07JKD6ZVB,"Class 1 I Black 1.25"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible ",,UNRESOLVED — needs match,,0,1,0,single_direct
th-piru04-a468,B07JKLQPGL,"Class 1 I Black 1.25"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible ",,UNRESOLVED — needs match,,1,0,2,single_direct
sbhd-f15015cc-5-bk,B07JR9DQS5,"5"" Oval Black Side Step Nerf Bars Rail Running Boards Compatible with 15-22 Ford F150 Supe",2017-2022-ford-super-duty-crew-cab-5-steel-side-step-bars-black,image-stem (confident),high,1,0,1,single_direct
th-sore14-b113,B07KCR1QP5,Stehlen 733469488989 Compatible with 2014-2015 Sorento / 2013-2018 Santa Fe Sport Class 2 ,class-2-trailer-hitch-black-kia-sorento-hyundai-santa-fe-sport,image-stem (confident),high,0,1,0,single_direct
th-tran15-c193,B07KCS4SNJ,Stehlen 733469489108 Compatible with 2015-2021 Ford Transit 150/250 / 350 Class 3 Trailer ,2015-2021-ford-transit-150-250-350-class-3-trailer-hitch-13193,image-stem (confident),high,0,1,0,single_direct
th-nitr07-c334,B07KCZQ97K,Stehlen 733469488675 Compatible with 2007-2011 Dodge Nitro Class 3 Trailer Tow Hitch Recei,2007-2011-dodge-nitro-class-3-trailer-hitch-black,image-stem (confident),high,0,1,0,single_direct
tc-ram19-5.8-hss,B07L5YMWFM,"Stehlen 733469493259 Compatible with 2019-2026 Dodge Ram 1500 New Body 5.7 Feet (68.4"") Sh",2019-dodge-ram-5-8ft-bed-hard-tri-fold-tonneau-cover-low-profile,image-stem (confident),high,0,1,0,single_direct
bghd-ram102500-av-tb,B07L7XJ67Q,Stehlen 733469492832 Compatible with 2010-2018 Dodge Ram 2500/3500 Advance Series Bull Bar,10-18-ram-2500-3500-advanced-bull-guard-w-led-light-bar-matte-black,image-stem (confident),high,1,0,1,single_direct
bghd-exped03-al-mb,B07L81FKDJ,Stehlen 733469493105 Compatible with 2004-2023 Ford F150 / 2003-2017 Expedition / 2003-201,,UNRESOLVED — needs match,,1,0,2,single_direct
fg-grzd-dnl07-bk+fg-grbd-dnl07lower-bk,B07L8V34FL,Glossy Black Round Hole Mesh Front Upper Hood Grill + Lower Bumper Grille Guard ABS Compat,2007-2014-gmc-yukon-yukon-xl-front-grille-matte-black,image-stem (confident),high,0,1,0,combo_alias
fg-exped03-vt-bk,B07LC1GGNX,Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 03-06 Ford ,2003-2006-ford-expedition-vertical-style-front-grille-black-abs,image-stem (confident),high,1,0,1,single_direct
fg-nav98-vt-bk,B07LC1H1QM,Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 98-02 Linco,,UNRESOLVED — needs match,,1,0,1,single_direct
tc-c1088-6.5-lru,B07LC94NGC,Lock & Roll Up Soft Vinyl Truck Bed Tonneau Cover Compatible with 88-00 Chevy GMC C10 C/K ,1988-2000-gmc-c-k-1500-3500-6-5-roll-up-tonneau-cover-503301,image-stem (confident),high,0,1,0,single_direct
smdp-cama85-c,B07M5J6QT6,Depo Chrome Clear Housing Front Bumper Turn Signal Lights Parking Lamps Side Marker Reflec,,UNRESOLVED — needs match,,1,0,1,single_direct
vs-taco05dc-in,B07M65DPSY,in Channel Classic Style Smoke Window Visors Deflector Vent Shade Guard 4 Pieces Compatibl,,UNRESOLVED — needs match,,1,0,2,single_direct
th-cara04-c389,B07MKDRXWX,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible w",2004-2007-chrysler-town-country-class-3-trailer-hitch-13389,image-stem (confident),high,1,0,2,single_direct
th-is06-a372,B07MKDT93Q,"Class 1 I Black 1.25"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible ",,UNRESOLVED — needs match,,1,0,3,single_direct
th-foc005d-a296,B07MNH6ZBY,"Class 1 I Black 1.25"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible ",2000-2007-ford-focus-wagon-class-1-trailer-hitch-black-11296,image-stem (confident),high,0,1,0,single_direct
th-golf99-a066,B07MNJ4DK4,"Class 1 I Black 1.25"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible ",,UNRESOLVED — needs match,,0,1,0,single_direct
th-sona10-a025,B07MNKNPG3,"Class 1 I Black 1.25"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible ",2011-2015-hyundai-sonata-kia-optima-class-1-trailer-hitch-black,image-stem (confident),high,0,1,0,single_direct
bghd-4run03-al-mb,B07MTTM348,Matte Black AVT Style Aluminum LED Light Bull Bar Brush Push Front Bumper Grill Grille Gua,2003-2009-toyota-4runner-lexus-gx470-bull-guard-matte-black,image-stem (confident),high,1,0,1,single_direct
bghd-ava021500-av-mb,B07MZJ4279,Matte Black AVT Style Bull Bar Brush Push Front Bumper Grill Grille Guard with Skid Plate ,,UNRESOLVED — needs match,,0,1,0,single_direct
hlnb-sie07-bk+fg-sie07-h-bk,B07N8J45XL,Black Clear Housing Crystal Headlights Signal Lamps nb + Glossy Black Horizontal Front Hoo,2007-2014-gmc-sierra-oem-crystal-headlights-black-gmsr07-03,image-stem (confident),high,0,1,0,combo_direct
tbm-f15001-5-rb-gy,B07N9RCKXH,Topline_autopart Black Rubber Diamond Plate Truck Bed Floor Mat Liner Compatible with 01-0,2001-2003-ford-f-150-styleside-5-5-bed-pvc-truck-bed-mat-black,image-stem (confident),high,1,0,3,single_direct
fg-ram102500-bh-ch,B07NPCT7WH,Chrome Big Horn Style Horizontal Front Hood Bumper Grill Grille Guard ABS With Shell Compa,2010-2018-ram-2500-3500-4500-5500-big-horn-style-chrome-grille,image-stem (confident),high,1,0,2,single_direct
bghd-tun99-al,B07P11XPJZ,Stehlen 733469494140 Compatible with 1999 2000-2006 Toyota Tundra / 2001-2007 Sequoia Adva,2000-2007-toyota-tundra-sequoia-advanced-bull-guard-matte-black,image-stem (confident),high,0,1,0,inferred_no_parent
bghd-ava021500-al-mb,B07P3257NK,Stehlen 733469493518 Compatible with 1999-2007 Chevy Silverado GMC Sierra / 2002-2006 Aval,99-07-silverado-sierra-1500-advanced-bull-guard-w-skid-plate-matte-black,image-stem (confident),high,0,1,0,single_direct
bghd-4run10-al-mb,B07P32H1B7,Stehlen 733469493495 Compatible with 2010-2024 Toyota 4Runner Advance Series Aluminum LED ,2010-2024-toyota-4runner-bull-guard-w-led-light-bar-matte-black,image-stem (confident),high,1,0,1,single_direct
uss-f15015cc-bk,B07PH2HQYQ,Stehlen 733469494522 Compatible With 2015-2022 Ford F150 / 2017-2022 F250 F350 F450 F550 S,2015-2023-ford-f-150-f-250-f-350-underseat-storage-organizer-box,image-stem (confident),high,1,0,1,single_direct
sbds-sil07cc-v2-mb+sbds-sil07cc-v2-br,B07R34CZ9R,Matte Black Hoop Drop Step Side Nerf Bars Rail Running Boards v2 Compatible with 07-18 Che,07-18-chevy-silverado-gmc-sierra-crew-cab-modular-step-bars-matte-black,image-stem (confident),high,1,0,1,combo_alias
sbhd-tit04xc-4-bk,B07T81XG6C,Stehlen 733469496670 Compatible with 2004-2024 Titan / 2017-2019 Titan XD King (Extended) ,,UNRESOLVED — needs match,,0,1,0,single_direct
sbhd-taco05dc-4-20-ch,B07TB1X4RZ,"Stehlen 733469496588 Compatible with 2005-2022 Toyota Tacoma Double (Crew) Cab 4"" Oval Sid",,UNRESOLVED — needs match,,0,1,0,single_direct
fg-ram02-rvt-me-mb,B081W2L83J,Matte Black RVT Rivet Bolt Steel Mesh Front Hood Bumper Grill Grille Guard ABS Compatible ,2002-2005-dodge-ram-1500-2500-3500-rivet-mesh-grille-matte-black,image-stem (confident),high,1,0,1,single_direct
sbds-taco05dc-v2-mb+sbds-taco05dc-v2-br,B082QSVSKT,Matte Black Hoop Drop Step Side Nerf Bars Rail Running Boards v2 Compatible with 05-22 Toy,2005-2018-toyota-tacoma-double-cab-modular-step-bars-matte-black,image-stem (confident),high,1,0,3,combo_alias
sbds-f15009cc-v2-mb+sbds-f15009cc-v2-br,B083ZLMQYM,Stehlen 642167818991 Compatible with 2009-2014 Ford F150 SuperCrew (Crew) Cab Hoop Drop St,,UNRESOLVED — needs match,,1,0,1,combo_alias
sbds-f15015sc-v2-mb+sbds-f15015sc-v2-br,B083ZN7JYB,Stehlen 642167819011 Compatible with 2015-2022 Ford F150 / 2017-2022 F250 F350 F450 F550 S,2015-2018-ford-f-150-f-250-super-crew-modular-step-bars-matte-black,image-stem (confident),high,1,0,2,combo_alias
fg-cha06-me-bk,B0856VX2ZL,Stehlen 642167821588 Compatible With 2005 2006-2010 Dodge Charger Mesh Front Hood Bumper G,2006-2010-dodge-charger-front-grille-mesh-style-matte-black,image-stem (confident),high,0,1,0,single_direct
fg-cha11-me-bk,B0856ZNSPB,Stehlen 642167819745 Compatible With 2011-2014 Dodge Charger Mesh Front Hood Bumper Grille,2011-2014-dodge-charger-front-grille-black,image-stem (confident),high,0,1,0,single_direct
fg-taco12oe-bk,B085LWNF4J,Stehlen 642167821496 Compatible With 2012-2015 Toyota Tacoma OE Mesh Front Hood Bumper Gri,,UNRESOLVED — needs match,,0,1,0,single_direct
fg-escl02-me-bk,B085PPZQHP,Stehlen 642167821670 Compatible With 2002-2006 Cadillac Escalade Mesh Front Hood Bumper Gr,,UNRESOLVED — needs match,,0,1,0,single_direct
fg-ram131500-rb-mb,B085Q54ZKD,Stehlen 642167821885 Compatible With 2013-2018 Ram 1500/2019-2024 Classic Rebel Honeycomb ,2013-2022-ram-1500-honeycomb-rebel-style-front-grille-matte-black,image-stem (confident),high,1,0,2,single_direct
fggg-gr-camy10-me-bk,B085Z52V3H,Stehlen 642167820161 Compatible With 2010-2011 Toyota Camry Mesh Front Hood Bumper Grille ,2010-2011-toyota-camry-mesh-front-grille-black,image-stem (confident),high,0,1,0,single_direct
fggg-grzt-taho07-me-ch,B086VT9855,Chrome Mesh Front Hood Bumper Grill Grille Guard ABS 1 Piece Design Compatible With 07-13 ,,UNRESOLVED — needs match,,0,1,0,single_direct
fggg-grzt-f15004-me-bk,B088CSF44N,Stehlen 642167820840 Compatible With 2004-2008 Ford F150 Mesh Front Hood Bumper Grille - G,2004-2008-ford-f-150-front-grille-matte-black-mesh-style,image-stem (confident),high,1,0,2,single_direct
sbrs-f15015cc-rs2-tb,B08JYG36VY,Textured Black Round Pattern Rock Slider Rocker Style Side Step Rail Nerf Bars Running Boa,,UNRESOLVED — needs match,,0,1,0,single_direct
th-escp13-c186,B08LR7DW5R,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible w",2013-2019-ford-escape-class-3-trailer-hitch-black-mpn-13186,image-stem (confident),high,1,0,1,single_direct
sbrs-sil19dc-rs2-tb,B08PQB9V23,Textured Black Round Pattern Rock Slider Rocker Style Side Step Rail Nerf Bars Running Boa,2019-chevy-silverado-gmc-sierra-crew-cab-rock-sliders-texture-black,image-stem (confident),high,0,1,0,single_direct
sbrs-taco05dc-rs2-tb,B08QZ4J46C,Textured Black Round Pattern Rock Slider Rocker Style Side Step Rail Nerf Bars Running Boa,,UNRESOLVED — needs match,,1,0,1,single_direct
fggg-grbt-impa06lo-me-ch,B08VDRSGPZ,Stehlen 642167823711 Compatible With 2006-2013 Chevy Impala / 2014-2016 Limited Mesh Front,,UNRESOLVED — needs match,,1,0,1,single_direct
