verdict,warehouse_decision,stehlen_branded,category,year_range_claimed,cabs_claimed,trim_risk_in_title,physical_part_to_inspect,vendor,handle,title,live_url,Notes,verification_note,raw_tags
1 - HARD HOLD,,,headlights - led crystal style,2007-2017,,,OEM assembly,JDMA,07-13-toyota-tundra-08-15-sequoia-led-crystal-headlights-black,2007-2017 Toyota Tundra Sequoia LED Crystal Headlights - Black,https://stehlenauto.com/products/07-13-toyota-tundra-08-15-sequoia-led-crystal-headlights-black,,"Per audit: 2014 Tundra got a fascia refresh; many '07-17' listings claim coverage they do not have. If listing also references 08-15 Sequoia (Sequoia kept body), split: Tundra 07-13 vs Sequoia 08-15.",2007 | 2007 Tundra | 2008 | 2008 Sequoia | 2008 Tundra | 2009 | 2009 Sequoia | 2009 Tundra | 2010 | 2010 Sequoia | 2010 Tundra | 2011 | 2011 Sequoia | 2011 Tundra | 2012 | 2012 Sequoia | 2012 Tundra | 2013 | 2013 Sequoia | 2013 Tundra | 2014 | 2014 Sequoia | 2015 | 2015 Sequoia | 2016 | 2016 Sequoia | 2017 | 2017 Sequoia | amber | black headlights | black housing | crystal headlights | custom headlights | headlights | HLNB-TUN07LBW-JDMA | LED headlights | LED light bar | Toyota Sequoia | Toyota Tundra | TYTD07C.06
1 - HARD HOLD,,,headlights - led crystal style,2007-2017,,,OEM assembly,Spec-D Tuning,07-13-toyota-tundra-08-15-sequoia-led-crystal-headlights-black-1,2007-2017 Toyota Tundra/Sequoia Crystal Headlights LED Turn Signal - Black,https://stehlenauto.com/products/07-13-toyota-tundra-08-15-sequoia-led-crystal-headlights-black-1,,"Per audit: 2014 Tundra got a fascia refresh; many '07-17' listings claim coverage they do not have. If listing also references 08-15 Sequoia (Sequoia kept body), split: Tundra 07-13 vs Sequoia 08-15.",2007 | 2007 Tundra | 2008 | 2008 Sequoia | 2008 Tundra | 2009 | 2009 Sequoia | 2009 Tundra | 2010 | 2010 Sequoia | 2010 Tundra | 2011 | 2011 Sequoia | 2011 Tundra | 2012 | 2012 Sequoia | 2012 Tundra | 2013 | 2013 Sequoia | 2013 Tundra | 2014 | 2014 Sequoia | 2015 | 2015 Sequoia | 2016 | 2016 Sequoia | 2017 | 2017 Sequoia | aftermarket headlights | black housing | crystal headlights | custom headlights | headlights | HLNB-TUN07LSQ-JDMA | LED headlights | LED turn signal | sequential turn signal | SUV headlights | Toyota Sequoia | Toyota Tundra | truck headlights | TYTD07CS.06
1 - HARD HOLD,,,headlights - led crystal style,,,,OEM assembly,HLPLNB,07-13-toyota-tundra-08-17-sequoia-full-led-projector-headlights-black,07-13 Toyota Tundra 08-17 Sequoia Full LED Projector Headlights Black,https://stehlenauto.com/products/07-13-toyota-tundra-08-17-sequoia-full-led-projector-headlights-black,,"Per audit: 2014 Tundra got a fascia refresh; many '07-17' listings claim coverage they do not have. If listing also references 08-15 Sequoia (Sequoia kept body), split: Tundra 07-13 vs Sequoia 08-15.",2007-2013 Tundra | 2008-2017 Sequoia | aftermarket headlights | amber reflector | black headlights | category:Headlights | full LED | headlights | HLPLNB | HLPLNB-TUN07FLED-AB | LED headlights | LED projector | make:Toyota | model:Sequoia | model:Tundra | plug and play headlights | projector headlights | Toyota headlights | Toyota Sequoia headlights | Toyota Tundra headlights | TYTD07B.06 | year:2007 | year:2008 | year:2009 | year:2010 | year:2011 | year:2012 | year:2013
1 - HARD HOLD,,,headlights - led crystal style,2007-2014,,,OEM assembly,JDM,07-14-chevy-silverado-crystal-black-headlights-no-amber,2007-2014 Chevrolet Silverado Crystal Headlights No Amber - Black,https://stehlenauto.com/products/07-14-chevy-silverado-crystal-black-headlights-no-amber,,Per audit: 2014 Silverado/Sierra 1500 is K2XX (NOT GMT900). Incompatible. Ship for 07-13 only; 14 must be excluded.,2007 | 2007 Silverado | 2008 | 2008 Silverado | 2009 | 2009 Silverado | 2010 | 2010 Silverado | 2011 | 2011 Silverado | 2012 | 2012 Silverado | 2013 | 2013 Silverado | 2014 | 2014 Silverado | black housing headlights | Chevrolet Silverado headlights | crystal headlights | CVSV07.03-1 | headlights | HLNB-SIL07-JDM | no amber headlights | OEM style headlights | replacement headlights | Silverado 1500 | Silverado 2500 HD | Silverado 3500 HD | truck headlights
1 - HARD HOLD,,,headlights - led crystal style,2009-2024,,,OEM assembly,Spec-D Tuning,09-18-dodge-ram-chrome-crystal-headlights-sequential-led-turn-signal,2009-2024 Dodge Ram Crystal Headlights Sequential LED Chrome,https://stehlenauto.com/products/09-18-dodge-ram-chrome-crystal-headlights-sequential-led-turn-signal,,Per audit: tag-set silently expanded to 09-24; does NOT fit DT new-body (19+). Ship for DS (09-18) + DT Classic (19-22 parallel run) only. Customer-visible failure: wrong housing + connector on 19+ Ram.,1500 classic headlights | 2009 | 2009 ram headlights | 2010 | 2010 ram headlights | 2011 | 2011 ram headlights | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2018 ram headlights | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | amber turn signal | chrome headlights | chrome housing | crystal headlights | DGPU09CS.00 | dodge ram 1500 | dodge ram 2500 | dodge ram 3500 | dodge ram headlights | headlights | HLNB-RAM09LSQ-CHA | LED headlights | ram 1500 headlights | ram 2500 headlights | ram 3500 headlights | sequential LED | sequential turn signal
1 - HARD HOLD,,,headlights - led crystal style,2009-2024,,,OEM assembly,Spec-D Tuning,09-18-dodge-ram-chrome-crystal-headlights-w-led-light-bar,2009-2024 Dodge Ram Crystal Headlights w/ LED Bar Chrome,https://stehlenauto.com/products/09-18-dodge-ram-chrome-crystal-headlights-w-led-light-bar,,Per audit: tag-set silently expanded to 09-24; does NOT fit DT new-body (19+). Ship for DS (09-18) + DT Classic (19-22 parallel run) only. Customer-visible failure: wrong housing + connector on 19+ Ram.,1500 Classic headlights | 2009 | 2009 Ram headlights | 2010 | 2010 Ram headlights | 2011 | 2011 Ram headlights | 2012 | 2012 Ram headlights | 2013 | 2013 Ram headlights | 2014 | 2014 Ram headlights | 2015 | 2015 Ram headlights | 2016 | 2016 Ram headlights | 2017 | 2017 Ram headlights | 2018 | 2018 Ram headlights | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | aftermarket headlights | chrome headlights | crystal headlights | custom headlights | DGPU09C.00 | Dodge Ram headlights | headlights | HLNB-RAM09LBW-CHA | LED light bar headlights | Ram 1500 headlights | Ram 2500 headlights | Ram 3500 headlights
1 - HARD HOLD,,,headlights - led crystal style,2009-2024,,,OEM assembly,JDMA,09-18-dodge-ram-crystal-headlights-sequential-led-turn-signal-black,2009-2024 Dodge Ram 1500/2500/3500 Crystal Headlights Sequential LED - JDMA,https://stehlenauto.com/products/09-18-dodge-ram-crystal-headlights-sequential-led-turn-signal-black,,Per audit: tag-set silently expanded to 09-24; does NOT fit DT new-body (19+). Ship for DS (09-18) + DT Classic (19-22 parallel run) only. Customer-visible failure: wrong housing + connector on 19+ Ram.,2009 | 2009 Ram headlights | 2010 | 2010 Ram headlights | 2011 | 2011 Ram headlights | 2012 | 2012 Ram headlights | 2013 | 2013 Ram headlights | 2014 | 2014 Ram headlights | 2015 | 2015 Ram headlights | 2016 | 2016 Ram headlights | 2017 | 2017 Ram headlights | 2018 | 2018 Ram headlights | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | amber turn signal | black housing headlights | crystal headlights | DGPU09CS.06 | Dodge Ram headlights | headlights | HLNB-RAM09LSQ-JDMA | LED headlights | LED turn signal | Ram 1500 Classic headlights | Ram 1500 headlights | Ram 2500 headlights | Ram 3500 headlights | sequential turn signal
1 - HARD HOLD,,,headlights - led crystal style,2009-2024,,,OEM assembly,JDMA,09-18-dodge-ram-crystal-headlights-w-led-light-bar-black,2009-2024 Dodge Ram Crystal Headlights LED Light Bar Black,https://stehlenauto.com/products/09-18-dodge-ram-crystal-headlights-w-led-light-bar-black,,Per audit: tag-set silently expanded to 09-24; does NOT fit DT new-body (19+). Ship for DS (09-18) + DT Classic (19-22 parallel run) only. Customer-visible failure: wrong housing + connector on 19+ Ram.,1500 Classic | 2009 | 2009-2018 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | amber headlights | black housing | crystal headlights | custom headlights | DGPU09C.06 | Dodge Ram | dodge ram headlights | halogen replacement | headlights | HLNB-RAM09LBW-JDMA | LED headlights | LED light bar | Ram 1500 | Ram 2500 | Ram 3500 | truck headlights
1 - HARD HOLD,,,headlights - led crystal style,2009-2022,,,OEM assembly,JDM,2009-2022-dodge-ram-crystal-black-headlights-quad-style,2009-2022 Dodge Ram 1500 2500 3500 Crystal Headlights Black - JDM,https://stehlenauto.com/products/2009-2022-dodge-ram-crystal-black-headlights-quad-style,,Per audit: 09-22 span lies. DS chassis (09-18) and DT Classic (19-22) share a body but DT new-body (19-22 parallel) does NOT. Split or restrict to DT-Classic-only.,1500 classic | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | black housing | crystal headlights | DGPU09V2.03 | dodge ram | headlights | HLNB-RAM09Q-JDM | new body style | no bulbs | oem replacement | quad style | ram 1500 | ram 2500 | ram 3500
1 - HARD HOLD,,,headlights - led crystal style,2009-2022,,,OEM assembly,Aftermarket,2009-2022-dodge-ram-crystal-headlights-chrome-quad-style,2009-2022 Dodge Ram 1500 2500 3500 Crystal Headlights - Chrome,https://stehlenauto.com/products/2009-2022-dodge-ram-crystal-headlights-chrome-quad-style,,Per audit: 09-22 span lies. DS chassis (09-18) and DT Classic (19-22) share a body but DT new-body (19-22 parallel) does NOT. Split or restrict to DT-Classic-only.,1500 classic headlights | 2009 | 2009 ram headlights | 2010 | 2010 ram headlights | 2011 | 2011 ram headlights | 2012 | 2012 ram headlights | 2013 | 2013 ram headlights | 2014 | 2014 ram headlights | 2015 | 2015 ram headlights | 2016 | 2016 ram headlights | 2017 | 2017 ram headlights | 2018 | 2018 ram headlights | 2019 | 2020 | 2021 | 2022 | chrome headlights | crystal headlights | DGPU09V2.04 | dodge ram headlights | headlights | HLNB-RAM09Q-CH | oem style headlights | quad headlights | ram 1500 headlights | ram 2500 headlights | ram 3500 headlights
1 - HARD HOLD,,,headlights - projector,2007-2017,,,OEM assembly,Spec-D Tuning,07-13-toyota-tundra-08-15-sequoia-projector-headlights-black-led-halo,2007-2017 Toyota Tundra Sequoia Projector Headlights LED Halo - Black,https://stehlenauto.com/products/07-13-toyota-tundra-08-15-sequoia-projector-headlights-black-led-halo,,"Per audit: 2014 Tundra got a fascia refresh; many '07-17' listings claim coverage they do not have. If listing also references 08-15 Sequoia (Sequoia kept body), split: Tundra 07-13 vs Sequoia 08-15.",2007 | 2007 Tundra | 2008 | 2008 Sequoia | 2008 Tundra | 2009 | 2009 Sequoia | 2009 Tundra | 2010 | 2010 Sequoia | 2010 Tundra | 2011 | 2011 Sequoia | 2011 Tundra | 2012 | 2012 Sequoia | 2012 Tundra | 2013 | 2013 Sequoia | 2013 Tundra | 2014 | 2014 Sequoia | 2015 | 2015 Sequoia | 2016 | 2016 Sequoia | 2017 | 2017 Sequoia | aftermarket headlights | amber | black housing | custom headlights | HLPNB-TUN07LBW-AB | LED halo | LED halo ring | light bar | projector headlights | super white LED | Toyota Sequoia | Toyota Tundra | TYTD07D.06
1 - HARD HOLD,,,headlights - projector,2007-2017,,,OEM assembly,HLPNB,07-13-toyota-tundra-08-15-sequoia-projector-headlights-chrome-led,2007-2017 Toyota Tundra Sequoia Projector Headlights LED - TYTD07DS,https://stehlenauto.com/products/07-13-toyota-tundra-08-15-sequoia-projector-headlights-chrome-led,,"Per audit: 2014 Tundra got a fascia refresh; many '07-17' listings claim coverage they do not have. If listing also references 08-15 Sequoia (Sequoia kept body), split: Tundra 07-13 vs Sequoia 08-15.",2007 | 2007 Tundra | 2008 | 2008 Sequoia | 2008 Tundra | 2009 | 2009 Sequoia | 2009 Tundra | 2010 | 2010 Sequoia | 2010 Tundra | 2011 | 2011 Sequoia | 2011 Tundra | 2012 | 2012 Sequoia | 2012 Tundra | 2013 | 2013 Sequoia | 2013 Tundra | 2014 | 2014 Sequoia | 2015 | 2015 Sequoia | 2016 | 2016 Sequoia | 2017 | 2017 Sequoia | aftermarket headlights | amber accent | chrome headlights | headlight assembly | HLPNB-TUN07LSQ-AC | LED turn signal | projector headlights | sequential LED | Toyota Sequoia | Toyota Tundra | TYTD07DS.00
1 - HARD HOLD,,,headlights - projector,2009-2024,,,OEM assembly,Spec-D Tuning,09-18-dodge-ram-projector-headlights-led-light-bar-black-dgpu09d,2009-2024 Dodge Ram 1500 2500 3500 Projector Headlights LED - Black,https://stehlenauto.com/products/09-18-dodge-ram-projector-headlights-led-light-bar-black-dgpu09d,,Per audit: tag-set silently expanded to 09-24; does NOT fit DT new-body (19+). Ship for DS (09-18) + DT Classic (19-22 parallel run) only. Customer-visible failure: wrong housing + connector on 19+ Ram.,1500 classic headlights | 2009 | 2009 ram headlights | 2010 | 2010 ram headlights | 2011 | 2011 ram headlights | 2012 | 2012 ram headlights | 2013 | 2013 ram headlights | 2014 | 2014 ram headlights | 2015 | 2015 ram headlights | 2016 | 2016 ram headlights | 2017 | 2017 ram headlights | 2018 | 2018 ram headlights | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | amber headlights | black headlights | DGPU09D.06 | dodge ram headlights | dodge ram projector | HLPNB-RAM09LBW-AB | led headlight assembly | led light bar headlights | projector headlights | ram 1500 headlights | ram 2500 headlights | ram 3500 headlights | truck headlights
1 - HARD HOLD,,,headlights - projector,2009-2024,,,OEM assembly,Spec-D Tuning,09-18-dodge-ram-projector-headlights-sequential-led-turn-signal-black,2009-2024 Dodge Ram 1500 2500 3500 Projector Headlights - Black,https://stehlenauto.com/products/09-18-dodge-ram-projector-headlights-sequential-led-turn-signal-black,,Per audit: tag-set silently expanded to 09-24; does NOT fit DT new-body (19+). Ship for DS (09-18) + DT Classic (19-22 parallel run) only. Customer-visible failure: wrong housing + connector on 19+ Ram.,2009 | 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 dodge ram | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | aftermarket headlights | amber turn signal | black headlights | DGPU09DS.06 | dodge ram headlights | HLPNB-RAM09LSQ-AB | projector headlights | ram 1500 classic headlights | ram 1500 headlights | ram 2500 headlights | ram 3500 headlights | sequential LED turn signal
1 - HARD HOLD,,,headlights - projector,2009-2024,,,OEM assembly,Spec-D Tuning,09-18-dodge-ram-sequential-led-projector-headlights-chrome,2009-2024 Dodge Ram 1500 2500 3500 Projector Headlights Sequential LED - Chrome,https://stehlenauto.com/products/09-18-dodge-ram-sequential-led-projector-headlights-chrome,,Per audit: tag-set silently expanded to 09-24; does NOT fit DT new-body (19+). Ship for DS (09-18) + DT Classic (19-22 parallel run) only. Customer-visible failure: wrong housing + connector on 19+ Ram.,1500 Classic | 2009 | 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | aftermarket headlights | amber LED | chrome headlights | chrome housing | DGPU09DS.00 | Dodge Ram headlights | HLPNB-RAM09LSQ-AC | LED turn signal bar | projector headlights | Ram 1500 | Ram 2500 | Ram 3500 | sequential LED | truck headlights | turn signal
1 - HARD HOLD,,,running boards,2009-2022,Crew Cab,,RBJZ-BR-RAM09-6P,RBJZ,09-22-dodge-ram-1500-5500-crew-cab-86-aluminum-running-boards,2009-2022 Dodge Ram 1500-5500 Crew Cab Running Boards - TI Style Matte Black,https://stehlenauto.com/products/09-22-dodge-ram-1500-5500-crew-cab-86-aluminum-running-boards,,[bracket RBJZ-BR-RAM09-6P] Bracket spans 2009-2022 in title; warehouse must confirm bracket fits BOTH the DS chassis (09-18) AND DT Classic (19-22). DT new-body (19+) must be EXCLUDED.,2009 | 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 86 inch | aluminum running boards | cab entry | combo kit | crew cab | dodge ram | dodge ram running boards | flat mount | matte black | nerf bars | ram 1500 | ram 2500 | ram 3500 | ram 4500 | ram 5500 | RBJZ brackets | RBJZ-BR-RAM09-6P+RBJZ-86-5-TI-MB | running boards | side steps | TI style | truck steps
