audit_verdict,stehlen_branded,bracket_pn,year_range_claimed,cabs_claimed,vendor,handle,title,live_url,verification_note,raw_tags
HARD HOLD - audit flagged,,RBJZ-BR-TACO05-6P,2005-2022,,RBJZ,2005-2022-toyota-tacoma-6-oe-style-running-boards-polished,"2005-2022 Toyota Tacoma Access Cab 6"" Running Boards - Polish",https://stehlenauto.com/products/2005-2022-toyota-tacoma-6-oe-style-running-boards-polished,Title claims 2005-2022 Tacoma. Warehouse must confirm bracket fits BOTH 2nd gen (05-15) AND 3rd gen (16-23) — different frame holes.,2005 | 2005-2022 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 6 inch | 76 inch | Access Cab | aluminum running boards | Extended Cab | flat mount | OE style | polished aluminum | RBJZ-BR-TACO05-6P+RBJZ-76-6-OE-SL | running boards | side steps | Tacoma running boards | Toyota Tacoma | truck accessories
HARD HOLD - audit flagged,,RBJZ-BR-TACO05-6P,2005-2022,Crew Cab,RBJZ,2005-2022-toyota-tacoma-86-aluminum-running-boards-matte-black,2005-2022 Toyota Tacoma Crew Cab Running Boards - RBJZ,https://stehlenauto.com/products/2005-2022-toyota-tacoma-86-aluminum-running-boards-matte-black,Title claims 2005-2022 Tacoma. Warehouse must confirm bracket fits BOTH 2nd gen (05-15) AND 3rd gen (16-23) — different frame holes.,2005 | 2005-2022 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | aluminum | bolt-on | crew cab | double cab | flat mount | matte black | RBJZ | RBJZ-BR-TACO05-6P+RBJZ-86-5-TI-MB | running boards | side steps | TI style | Toyota Tacoma | truck accessories
HARD HOLD - audit flagged,,RBJZ-BR-TACO05-6P,2005-2022,,RBJZ,2005-2022-toyota-tacoma-access-cab-oe-style-running-boards-matte-black,2005-2022 Toyota Tacoma Access Cab OE Style Running Boards - RBJZ,https://stehlenauto.com/products/2005-2022-toyota-tacoma-access-cab-oe-style-running-boards-matte-black,Title claims 2005-2022 Tacoma. Warehouse must confirm bracket fits BOTH 2nd gen (05-15) AND 3rd gen (16-23) — different frame holes.,2005 | 2005-2022 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | access cab | aluminum | extended cab | flat mount | matte black | OE style | RBJZ | RBJZ-BR-TACO05-6P+RBJZ-76-6-OE-MB | running boards | side steps | Tacoma running boards | Toyota Tacoma | truck accessories
HARD HOLD - audit flagged,,RBJZ-BR-TACO05-6P,2005-2022,Crew Cab,RBJZ,2005-2022-toyota-tacoma-oe-style-aluminum-running-boards-silver,2005-2022 Toyota Tacoma Crew Cab OE Style Running Boards - Silver,https://stehlenauto.com/products/2005-2022-toyota-tacoma-oe-style-aluminum-running-boards-silver,Title claims 2005-2022 Tacoma. Warehouse must confirm bracket fits BOTH 2nd gen (05-15) AND 3rd gen (16-23) — different frame holes.,2005 | 2005-2022 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | aluminum | crew cab | double cab | exterior accessories | flat mount | OE style | RBJZ | RBJZ-BR-TACO05-6P+RBJZ-86-6-OE-SL | running boards | side steps | silver | step bars | Toyota Tacoma | truck accessories
HARD HOLD - audit flagged,,RBJZ-BR-TACO05-6P,2005-2022,Crew Cab,RBJZ,2005-2022-toyota-tacoma-oe-style-running-boards-matte-black,2005-2022 Toyota Tacoma Crew Cab OE Style Running Boards - RBJZ,https://stehlenauto.com/products/2005-2022-toyota-tacoma-oe-style-running-boards-matte-black,Title claims 2005-2022 Tacoma. Warehouse must confirm bracket fits BOTH 2nd gen (05-15) AND 3rd gen (16-23) — different frame holes.,2005 | 2005-2022 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | aluminum | bolt-on | crew cab | double cab | exterior accessories | flat mount | matte black | OE style | RBJZ-BR-TACO05-6P+RBJZ-86-6-OE-MB | running boards | side steps | Toyota Tacoma | truck accessories
Verify - new-body specific,YES,RBJZ-BR-RAM191500-6P,2019-2024,Extended Cab,Stehlen Auto,2019-2024-ram-1500-76-oe-style-aluminum-running-boards-matte-black,2019-2024 Dodge Ram 1500 Extended Cab OE Running Boards - Matte Black,https://stehlenauto.com/products/2019-2024-ram-1500-76-oe-style-aluminum-running-boards-matte-black,"Title claims 2019-2024 Ram 1500 — confirm bracket is sized for the DT new-body chassis ONLY, not DS or DT Classic.",2019 | 2019 Ram 1500 | 2020 | 2020 Ram 1500 | 2021 | 2021 Ram 1500 | 2022 | 2022 Ram 1500 | 2023 | 2023 Ram 1500 | 2024 | 2024 Ram 1500 | aluminum running boards | combo kit | Dodge Ram 1500 | extended cab | flat mount | matte black | nerf bars | OE style | quad cab | Ram 1500 | RBJZ-BR-RAM191500-6P+RBJZ-76-6-OE-MB | running boards | side steps | truck running boards
Verify - new-body specific,YES,RBJZ-BR-RAM191500-6P,2019-2024,Crew Cab,Stehlen Auto,2019-2024-ram-1500-86-oe-style-aluminum-running-boards-matte-black,2019-2024 Dodge Ram 1500 Crew Cab OE Running Boards - Matte Black,https://stehlenauto.com/products/2019-2024-ram-1500-86-oe-style-aluminum-running-boards-matte-black,"Title claims 2019-2024 Ram 1500 — confirm bracket is sized for the DT new-body chassis ONLY, not DS or DT Classic.",2019 | 2019 ram 1500 | 2020 | 2020 ram 1500 | 2021 | 2021 ram 1500 | 2022 | 2022 ram 1500 | 2023 | 2023 ram 1500 | 2024 | 2024 ram 1500 | 86 inch running board | aluminum running boards | crew cab | dodge ram 1500 | dodge ram accessories | flat mount | matte black | nerf bars | new body style | OE style | ram 1500 | RBJZ-BR-RAM191500-6P+RBJZ-86-6-OE-MB | running boards | side steps | truck running boards
Verify - new-body specific,YES,RBJZ-BR-RAM191500-6P,2019-2024,Crew Cab,Stehlen Auto,2019-2024-ram-1500-modular-steel-running-boards-texture-black,"2019-2024 Dodge Ram 1500 Crew Cab Running Boards 86"" Modular Steel",https://stehlenauto.com/products/2019-2024-ram-1500-modular-steel-running-boards-texture-black,"Title claims 2019-2024 Ram 1500 — confirm bracket is sized for the DT new-body chassis ONLY, not DS or DT Classic.",2019 | 2019 ram 1500 | 2020 | 2020 ram 1500 | 2021 | 2021 ram 1500 | 2022 | 2022 ram 1500 | 2023 | 2023 ram 1500 | 2024 | 2024 ram 1500 | 86 inch running board | crew cab | dodge ram | modular running boards | nerf bars | new body style | ram 1500 | ram 1500 accessories | RBJZ-BR-RAM191500-6P+RBJZ-86-MRB-TB | running board brackets | running boards | side steps | steel running boards | texture black | truck running boards
Verify - new-body specific,YES,RBJZ-BR-RAM191500-6P,2019-2024,Extended Cab,Stehlen Auto,2019-2024-ram-1500-quad-cab-76-modular-steel-running-boards,2019-2024 Dodge Ram 1500 Extended Cab Running Boards Steel Modular,https://stehlenauto.com/products/2019-2024-ram-1500-quad-cab-76-modular-steel-running-boards,"Title claims 2019-2024 Ram 1500 — confirm bracket is sized for the DT new-body chassis ONLY, not DS or DT Classic.",2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 76 inch running boards | combo kit | dodge ram 1500 | extended cab | modular running boards | nerf bars | quad cab | ram 1500 | RBJZ-BR-RAM191500-6P+RBJZ-76-MRB-TB | running boards | side steps | steel running boards | texture black | truck running boards
Verify,YES,RBJZ-BR-SIL19-6P,2019-2024,Crew Cab,Stehlen Auto,2019-2024-chevy-silverado-gmc-sierra-86-modular-running-boards,2019-2024 Chevrolet/GMC Silverado Sierra Crew Cab Running Boards,https://stehlenauto.com/products/2019-2024-chevy-silverado-gmc-sierra-86-modular-running-boards,Title claims 2019-2024 Silverado/Sierra. Confirm bracket spans T1XX (19-21) AND the 2022 fascia/frame refresh.,2019 | 2019 Chevrolet Silverado | 2019 GMC Sierra | 2020 | 2020 Chevrolet Silverado | 2020 GMC Sierra | 2021 | 2021 Chevrolet Silverado | 2021 GMC Sierra | 2022 | 2022 Chevrolet Silverado | 2022 GMC Sierra | 2023 | 2023 Chevrolet Silverado | 2023 GMC Sierra | 2024 | 2024 Chevrolet Silverado | 2024 GMC Sierra | 86 inch running board | crew cab | diesel DEF tank | modular running boards | nerf bar | RBJZ-BR-SIL19-6P+RBJZ-86-MRB-TB | rocker panel mount | running boards | side steps | Sierra 1500 | Sierra 2500 HD | Sierra 3500 HD | Silverado 1500 | Silverado 2500 HD | Silverado 3500 HD | steel running boards | texture black | truck accessories | truck step
Verify,YES,RBJZ-BR-SIL19-6P,2019-2024,Crew Cab,Stehlen Auto,2019-2024-silverado-sierra-86-oe-style-running-boards-matte-black,2019-2024 Chevrolet/GMC Silverado Sierra Crew Cab OE Running Boards,https://stehlenauto.com/products/2019-2024-silverado-sierra-86-oe-style-running-boards-matte-black,Title claims 2019-2024 Silverado/Sierra. Confirm bracket spans T1XX (19-21) AND the 2022 fascia/frame refresh.,2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 86 inch running board | aluminum running boards | Chevrolet Silverado running boards | crew cab | DEF tank | diesel compatible | flat mount | GMC Sierra running boards | matte black running boards | OE style running boards | RBJZ-BR-SIL19-6P+RBJZ-86-6-OE-MB | rocker panel mount | running boards | side steps | Sierra 1500 | Sierra 2500 HD | Sierra 3500 HD | Silverado 1500 | Silverado 2500 HD | Silverado 3500 HD
INSPECT - no bracket P/N,YES,,2009-2023,Crew Cab,Stehlen Auto,09-18-dodge-ram-1500-2500-3500-crew-cab-modular-step-bars-matte-black,2009-2023 Dodge Ram 1500-3500 Crew Cab Modular Side Step Bars - Matte Black,https://stehlenauto.com/products/09-18-dodge-ram-1500-2500-3500-crew-cab-modular-step-bars-matte-black,Bracket P/N not found in tags - inspect product manually.,2009 | 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | crew cab | Dodge Ram | Dodge Ram 1500 | Dodge Ram 1500 Classic | Dodge Ram 2500 | Dodge Ram 3500 | Dodge Ram 4500 | Dodge Ram 5500 | drop step | EB931-RAM09CC-BK | matte black | modular step bars | nerf bars | running boards | SBMS-RAM09CC-MB | side step bars | truck accessories | truck steps
INSPECT - no bracket P/N,YES,,2010-2018,,Stehlen Auto,2010-2018-ram-2500-3500-mega-cab-modular-drop-step-bars-matte-black,2010-2018 Dodge Ram 2500/3500 Mega Cab Modular Side Step Bars - Matte Black,https://stehlenauto.com/products/2010-2018-ram-2500-3500-mega-cab-modular-drop-step-bars-matte-black,Bracket P/N not found in tags - inspect product manually.,2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | cab entry | dodge ram | drop step | EB931-RAM15MC-BK | extended crew cab | matte black | mega cab | modular step bars | nerf bars | ram 2500 | ram 3500 | running boards | SBMS-RAM102500MC-MB | side step bars | truck steps
INSPECT - no bracket P/N,YES,,2019-2023,Extended Cab,Stehlen Auto,2019-2025-chevy-silverado-gmc-sierra-1500-dc-led-step-bars,2019-2023 Chevy Silverado/GMC Sierra 1500 Extended Cab LED Step Bars - Matte Black,https://stehlenauto.com/products/2019-2025-chevy-silverado-gmc-sierra-1500-dc-led-step-bars,Bracket P/N not found in tags - inspect product manually.,2019 | 2019 Sierra | 2019 Silverado | 2020 | 2020 Sierra | 2020 Silverado | 2021 | 2021 Sierra | 2021 Silverado | 2022 | 2022 Sierra | 2022 Silverado | 2023 | 2023 Sierra | 2023 Silverado | Chevrolet Silverado 1500 | double cab | drop step | extended cab | GMC Sierra 1500 | LED step bars | matte black | modular step bars | nerf bars | running boards | SBMS-SIL191500DC-MB-LED | side step bars | side steps with LED | truck steps
INSPECT - no bracket P/N,YES,,2009-2023,Quad Cab,Stehlen Auto,dodge-ram-quad-cab-modular-drop-step-bars-w-led-lights-matte-black,2009-2023 Dodge Ram 1500 Quad Cab Modular Step Bars w/ LED - Matte Black,https://stehlenauto.com/products/dodge-ram-quad-cab-modular-drop-step-bars-w-led-lights-matte-black,Bracket P/N not found in tags - inspect product manually.,2009 | 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | Dodge Ram | drop step | EB988-RAM09QC | extended cab | LED step bars | matte black | modular step bars | nerf bars | quad cab | Ram 1500 | Ram 1500 Classic | running boards | SBMS-RAM09QC-MB-LED | side step bars | side steps with LED | truck steps
Verify,,RBJZ-BR-COLO15-6P,2015-2022,Crew Cab,Modular Running Boards,2015-2025-chevy-colorado-82-modular-steel-running-boards-black,2015-2022 Chevrolet Colorado & GMC Canyon Crew Cab Running Boards - Modular Steel,https://stehlenauto.com/products/2015-2025-chevy-colorado-82-modular-steel-running-boards-black,Title claims 2015-2022 Colorado/Canyon. Confirm bracket fits the entire 2nd gen run.,2015 | 2015 Canyon | 2015 Colorado | 2016 | 2016 Canyon | 2016 Colorado | 2017 | 2017 Canyon | 2017 Colorado | 2018 | 2018 Canyon | 2018 Colorado | 2019 | 2019 Canyon | 2019 Colorado | 2020 | 2020 Canyon | 2020 Colorado | 2021 | 2021 Canyon | 2021 Colorado | 2022 | 2022 Canyon | 2022 Colorado | 4-door | 82 inch running boards | Chevrolet Colorado | combo kit | crew cab | GMC Canyon | modular running boards | nerf bars | RBJZ-BR-COLO15-6P+RBJZ-82-MRB-TB | running board brackets | running boards | side steps | steel running boards | texture black | truck steps
Verify,,RBJZ-BR-RANG19-6P,2019-2023,Crew Cab,RBJZ,2019-2024-ford-ranger-crew-cab-82-modular-steel-running-boards,2019-2023 Ford Ranger Crew Cab Running Boards - Modular Steel,https://stehlenauto.com/products/2019-2024-ford-ranger-crew-cab-82-modular-steel-running-boards,Title claims 2019-2023 Ranger Crew Cab. Confirm bracket is 5-ft-bed-only (US Ranger has no 6-ft bed).,2019 | 2019 Ranger | 2020 | 2020 Ranger | 2021 | 2021 Ranger | 2022 | 2022 Ranger | 2023 | 2023 Ranger | crew cab | Ford accessories | Ford Ranger | modular running boards | RBJZ-BR-RANG19-6P+RBJZ-82-MRB-TB | running boards | side steps | steel running boards | supercrew | texture black | truck accessories
Verify,,RBJZ-BR-SIL19-6P,2019-2024,Extended Cab,RBJZ,2019-2024-chevy-silverado-gmc-sierra-76-modular-steel-running-boards,2019-2024 Silverado/Sierra Extended Cab Running Boards - Steel,https://stehlenauto.com/products/2019-2024-chevy-silverado-gmc-sierra-76-modular-steel-running-boards,Title claims 2019-2024 Silverado/Sierra. Confirm bracket spans T1XX (19-21) AND the 2022 fascia/frame refresh.,2019 | 2019-2024 | 2020 | 2021 | 2022 | 2023 | 2024 | Chevrolet Silverado 1500 | Chevrolet Silverado 2500 HD | Chevrolet Silverado 3500 HD | DEF tank compatible | double cab | extended cab | GMC Sierra 1500 | GMC Sierra 2500 HD | GMC Sierra 3500 HD | modular style | RBJZ-BR-SIL19-6P+RBJZ-76-MRB-TB | rocker panel mount | running boards | side steps | steel running boards | texture black | truck accessories
Verify,,RBJZ-BR-SIL19-6P,2019-2024,Double Cab,RBJZ,2019-2024-chevy-silverado-gmc-sierra-76-oe-running-boards-matte-black,2019-2024 Silverado/Sierra Double Cab OE Running Boards - Matte Black,https://stehlenauto.com/products/2019-2024-chevy-silverado-gmc-sierra-76-oe-running-boards-matte-black,Title claims 2019-2024 Silverado/Sierra. Confirm bracket spans T1XX (19-21) AND the 2022 fascia/frame refresh.,2019 | 2019-2024 | 2020 | 2021 | 2022 | 2023 | 2024 | 76 inch | aluminum | Chevrolet Silverado 1500 | Chevrolet Silverado 2500 HD | Chevrolet Silverado 3500 HD | DEF tank compatible | double cab | extended cab | flat mount | GMC Sierra 1500 | GMC Sierra 2500 HD | GMC Sierra 3500 HD | matte black | OE style | RBJZ-BR-SIL19-6P+RBJZ-76-6-OE-MB | rocker panel mount | running boards | side steps | truck accessories
INSPECT - no bracket P/N,,,2004-2008,Super Cab,S&B,04-08-ford-f-150-super-cab-5-oval-side-step-bars-black,"2004-2008 Ford F-150 Super Cab 5"" Oval Side Step Bars - Black",https://stehlenauto.com/products/04-08-ford-f-150-super-cab-5-oval-side-step-bars-black,Bracket P/N not found in tags - inspect product manually.,2004 | 2004-2008 | 2005 | 2006 | 2007 | 2008 | 5 inch oval | black | Extended Cab | Ford F-150 | Ford F150 side steps | nerf bars | running boards | SBHD-F15004SC-5-BK | side step bars | step bars | Super Cab | truck accessories
INSPECT - no bracket P/N,,,,Crew Cab,SBMS,07-18-chevy-silverado-gmc-sierra-crew-cab-modular-step-bars-matte-black,07-18 Silverado/Sierra Crew Cab Modular Side Steps - Matte Black,https://stehlenauto.com/products/07-18-chevy-silverado-gmc-sierra-crew-cab-modular-step-bars-matte-black,Bracket P/N not found in tags - inspect product manually.,2007-2018 | Chevrolet Silverado | crew cab | drop step | GMC Sierra | matte black | modular step | nerf bars | running boards | SBMS-SIL07CC-MB | side step bars | side steps | Sierra 1500 | Sierra 2500 HD | Sierra 3500 HD | Silverado 1500 | Silverado 2500 | Silverado 2500 HD | Silverado 3500 HD | truck accessories
